product,manufacturer,property,predicted_value,prediction_method,donor_1_actual_value,donor_1_manufacturer,donor_1_product,donor_1_weight,donor_2_actual_value,donor_2_manufacturer,donor_2_product,donor_2_weight,donor_3_actual_value,donor_3_manufacturer,donor_3_product,donor_3_weight
savE® OM35,Pluss Advanced Technologies,Tm_nucleation,33.3333,MICE + Random Forest + PMM (weighted blend of real donor values),34.0,Pluss Advanced Technologies,savE® HS36,0.333,36.0,Pluss Advanced Technologies,savE® OM37,0.333,45.0,Pluss Advanced Technologies,savE® OM46,0.333
savE® OM39,Pluss Advanced Technologies,Tm_nucleation,34.3333,MICE + Random Forest + PMM (weighted blend of real donor values),34.0,Pluss Advanced Technologies,savE® HS36,0.333,36.0,Pluss Advanced Technologies,savE® OM37,0.333,45.0,Pluss Advanced Technologies,savE® OM46,0.333
savE® OM42,Pluss Advanced Technologies,Tm_nucleation,42.3333,MICE + Random Forest + PMM (weighted blend of real donor values),34.0,Pluss Advanced Technologies,savE® HS36,0.333,36.0,Pluss Advanced Technologies,savE® OM37,0.333,45.0,Pluss Advanced Technologies,savE® OM46,0.333
savE® OM48,Pluss Advanced Technologies,Tm_nucleation,47.3333,MICE + Random Forest + PMM (weighted blend of real donor values),34.0,Pluss Advanced Technologies,savE® HS36,0.333,36.0,Pluss Advanced Technologies,savE® OM37,0.333,45.0,Pluss Advanced Technologies,savE® OM46,0.333
savE® OM50,Pluss Advanced Technologies,Tm_nucleation,49.3333,MICE + Random Forest + PMM (weighted blend of real donor values),34.0,Pluss Advanced Technologies,savE® HS36,0.333,36.0,Pluss Advanced Technologies,savE® OM37,0.333,45.0,Pluss Advanced Technologies,savE® OM46,0.333
RT35,Rubitherm Technologies,Tm_nucleation,34.3333,MICE + Random Forest + PMM (weighted blend of real donor values),34.0,Pluss Advanced Technologies,savE® HS36,0.333,36.0,Pluss Advanced Technologies,savE® OM37,0.333,45.0,Pluss Advanced Technologies,savE® OM46,0.333
RT38,Rubitherm Technologies,Tm_nucleation,37.3333,MICE + Random Forest + PMM (weighted blend of real donor values),34.0,Pluss Advanced Technologies,savE® HS36,0.333,36.0,Pluss Advanced Technologies,savE® OM37,0.333,45.0,Pluss Advanced Technologies,savE® OM46,0.333
RT42,Rubitherm Technologies,Tm_nucleation,41.3333,MICE + Random Forest + PMM (weighted blend of real donor values),34.0,Pluss Advanced Technologies,savE® HS36,0.333,36.0,Pluss Advanced Technologies,savE® OM37,0.333,45.0,Pluss Advanced Technologies,savE® OM46,0.333
RT44HC,Rubitherm Technologies,Tm_nucleation,42.3333,MICE + Random Forest + PMM (weighted blend of real donor values),34.0,Pluss Advanced Technologies,savE® HS36,0.333,36.0,Pluss Advanced Technologies,savE® OM37,0.333,45.0,Pluss Advanced Technologies,savE® OM46,0.333
RT45HC,Rubitherm Technologies,Tm_nucleation,44.3333,MICE + Random Forest + PMM (weighted blend of real donor values),34.0,Pluss Advanced Technologies,savE® HS36,0.333,36.0,Pluss Advanced Technologies,savE® OM37,0.333,45.0,Pluss Advanced Technologies,savE® OM46,0.333
RT47,Rubitherm Technologies,Tm_nucleation,46.3333,MICE + Random Forest + PMM (weighted blend of real donor values),34.0,Pluss Advanced Technologies,savE® HS36,0.333,36.0,Pluss Advanced Technologies,savE® OM37,0.333,45.0,Pluss Advanced Technologies,savE® OM46,0.333
RT50,Rubitherm Technologies,Tm_nucleation,49.3333,MICE + Random Forest + PMM (weighted blend of real donor values),34.0,Pluss Advanced Technologies,savE® HS36,0.333,36.0,Pluss Advanced Technologies,savE® OM37,0.333,45.0,Pluss Advanced Technologies,savE® OM46,0.333
RT54HC,Rubitherm Technologies,Tm_nucleation,53.3333,MICE + Random Forest + PMM (weighted blend of real donor values),34.0,Pluss Advanced Technologies,savE® HS36,0.333,36.0,Pluss Advanced Technologies,savE® OM37,0.333,45.0,Pluss Advanced Technologies,savE® OM46,0.333
RT55,Rubitherm Technologies,Tm_nucleation,54.3333,MICE + Random Forest + PMM (weighted blend of real donor values),34.0,Pluss Advanced Technologies,savE® HS36,0.333,36.0,Pluss Advanced Technologies,savE® OM37,0.333,45.0,Pluss Advanced Technologies,savE® OM46,0.333
RT64HC,Rubitherm Technologies,Tm_nucleation,63.3333,MICE + Random Forest + PMM (weighted blend of real donor values),34.0,Pluss Advanced Technologies,savE® HS36,0.333,36.0,Pluss Advanced Technologies,savE® OM37,0.333,45.0,Pluss Advanced Technologies,savE® OM46,0.333
RT35,Rubitherm Technologies,latent_heat_freezing,200.9802,MICE + Random Forest + PMM (weighted blend of real donor values),202.0,Pluss Advanced Technologies,savE® OM35,0.806,196.0,Pluss Advanced Technologies,savE® OM37,0.176,204.0,Pluss Advanced Technologies,savE® OM50,0.018
RT38,Rubitherm Technologies,latent_heat_freezing,196.7545,MICE + Random Forest + PMM (weighted blend of real donor values),196.0,Pluss Advanced Technologies,savE® OM37,0.855,202.0,Pluss Advanced Technologies,savE® OM35,0.135,190.0,Pluss Advanced Technologies,savE® OM42,0.009
RT42,Rubitherm Technologies,latent_heat_freezing,196.3752,MICE + Random Forest + PMM (weighted blend of real donor values),196.0,Pluss Advanced Technologies,savE® OM37,0.399,202.0,Pluss Advanced Technologies,savE® OM35,0.332,190.0,Pluss Advanced Technologies,savE® OM42,0.269
RT44HC,Rubitherm Technologies,latent_heat_freezing,198.5087,MICE + Random Forest + PMM (weighted blend of real donor values),196.0,Pluss Advanced Technologies,savE® OM37,0.544,202.0,Pluss Advanced Technologies,savE® OM35,0.437,190.0,Pluss Advanced Technologies,savE® OM42,0.019
RT45HC,Rubitherm Technologies,latent_heat_freezing,200.15,MICE + Random Forest + PMM (weighted blend of real donor values),202.0,Pluss Advanced Technologies,savE® OM35,0.474,196.0,Pluss Advanced Technologies,savE® OM37,0.363,204.0,Pluss Advanced Technologies,savE® OM50,0.164
RT47,Rubitherm Technologies,latent_heat_freezing,197.1109,MICE + Random Forest + PMM (weighted blend of real donor values),196.0,Pluss Advanced Technologies,savE® OM37,0.467,202.0,Pluss Advanced Technologies,savE® OM35,0.359,190.0,Pluss Advanced Technologies,savE® OM42,0.174
RT50,Rubitherm Technologies,latent_heat_freezing,195.9831,MICE + Random Forest + PMM (weighted blend of real donor values),196.0,Pluss Advanced Technologies,savE® OM37,0.369,190.0,Pluss Advanced Technologies,savE® OM42,0.317,202.0,Pluss Advanced Technologies,savE® OM35,0.314
RT54HC,Rubitherm Technologies,latent_heat_freezing,196.8651,MICE + Random Forest + PMM (weighted blend of real donor values),196.0,Pluss Advanced Technologies,savE® OM37,0.823,202.0,Pluss Advanced Technologies,savE® OM35,0.161,190.0,Pluss Advanced Technologies,savE® OM42,0.017
RT55,Rubitherm Technologies,latent_heat_freezing,197.5743,MICE + Random Forest + PMM (weighted blend of real donor values),196.0,Pluss Advanced Technologies,savE® OM37,0.561,202.0,Pluss Advanced Technologies,savE® OM35,0.351,190.0,Pluss Advanced Technologies,savE® OM42,0.089
RT64HC,Rubitherm Technologies,latent_heat_freezing,200.1237,MICE + Random Forest + PMM (weighted blend of real donor values),202.0,Pluss Advanced Technologies,savE® OM35,0.482,196.0,Pluss Advanced Technologies,savE® OM37,0.364,204.0,Pluss Advanced Technologies,savE® OM50,0.154
savE® HS36,Pluss Advanced Technologies,heat_storage_Wh_kg,47.8646,MICE + Random Forest + PMM (weighted blend of real donor values),48.0,Rubitherm Technologies,RT55,0.722,48.0,Rubitherm Technologies,RT42,0.143,47.0,Rubitherm Technologies,RT38,0.135
savE® OM35,Pluss Advanced Technologies,heat_storage_Wh_kg,50.8069,MICE + Random Forest + PMM (weighted blend of real donor values),48.0,Rubitherm Technologies,RT55,0.419,56.0,Rubitherm Technologies,RT54HC,0.351,48.0,Rubitherm Technologies,RT42,0.231
savE® OM37,Pluss Advanced Technologies,heat_storage_Wh_kg,61.8911,MICE + Random Forest + PMM (weighted blend of real donor values),56.0,Rubitherm Technologies,RT54HC,0.493,70.0,Rubitherm Technologies,RT44HC,0.306,64.0,Rubitherm Technologies,RT45HC,0.201
savE® OM39,Pluss Advanced Technologies,heat_storage_Wh_kg,53.6684,MICE + Random Forest + PMM (weighted blend of real donor values),56.0,Rubitherm Technologies,RT54HC,0.709,48.0,Rubitherm Technologies,RT55,0.173,48.0,Rubitherm Technologies,RT42,0.118
savE® OM42,Pluss Advanced Technologies,heat_storage_Wh_kg,56.4258,MICE + Random Forest + PMM (weighted blend of real donor values),56.0,Rubitherm Technologies,RT54HC,0.861,70.0,Rubitherm Technologies,RT44HC,0.07,48.0,Rubitherm Technologies,RT55,0.069
savE® OM46,Pluss Advanced Technologies,heat_storage_Wh_kg,56.0878,MICE + Random Forest + PMM (weighted blend of real donor values),56.0,Rubitherm Technologies,RT54HC,0.963,48.0,Rubitherm Technologies,RT55,0.019,70.0,Rubitherm Technologies,RT44HC,0.017
savE® OM48,Pluss Advanced Technologies,heat_storage_Wh_kg,52.7547,MICE + Random Forest + PMM (weighted blend of real donor values),56.0,Rubitherm Technologies,RT54HC,0.594,48.0,Rubitherm Technologies,RT55,0.245,48.0,Rubitherm Technologies,RT42,0.161
savE® OM50,Pluss Advanced Technologies,heat_storage_Wh_kg,53.2219,MICE + Random Forest + PMM (weighted blend of real donor values),56.0,Rubitherm Technologies,RT54HC,0.653,48.0,Rubitherm Technologies,RT55,0.208,48.0,Rubitherm Technologies,RT42,0.139
RT35,Rubitherm Technologies,Cp_solid,2.0098,MICE + Random Forest + PMM (weighted blend of real donor values),2.02,Pluss Advanced Technologies,savE® OM48,0.59,2.0,Pluss Advanced Technologies,savE® OM39,0.308,1.98,Pluss Advanced Technologies,savE® HS36,0.102
RT38,Rubitherm Technologies,Cp_solid,2.0174,MICE + Random Forest + PMM (weighted blend of real donor values),2.02,Pluss Advanced Technologies,savE® OM48,0.906,2.0,Pluss Advanced Technologies,savE® OM39,0.056,1.98,Pluss Advanced Technologies,savE® HS36,0.038
RT42,Rubitherm Technologies,Cp_solid,2.0118,MICE + Random Forest + PMM (weighted blend of real donor values),2.02,Pluss Advanced Technologies,savE® OM48,0.723,2.0,Pluss Advanced Technologies,savE® OM39,0.145,1.98,Pluss Advanced Technologies,savE® HS36,0.131
RT44HC,Rubitherm Technologies,Cp_solid,2.1792,MICE + Random Forest + PMM (weighted blend of real donor values),2.0,Pluss Advanced Technologies,savE® OM39,0.407,2.5,Pluss Advanced Technologies,savE® OM46,0.349,2.02,Pluss Advanced Technologies,savE® OM48,0.245
RT45HC,Rubitherm Technologies,Cp_solid,2.3747,MICE + Random Forest + PMM (weighted blend of real donor values),2.5,Pluss Advanced Technologies,savE® OM46,0.475,2.0,Pluss Advanced Technologies,savE® OM39,0.284,2.57,Pluss Advanced Technologies,savE® OM35,0.241
RT47,Rubitherm Technologies,Cp_solid,2.0011,MICE + Random Forest + PMM (weighted blend of real donor values),2.0,Pluss Advanced Technologies,savE® OM39,0.886,2.02,Pluss Advanced Technologies,savE® OM48,0.084,1.98,Pluss Advanced Technologies,savE® HS36,0.03
RT50,Rubitherm Technologies,Cp_solid,2.0028,MICE + Random Forest + PMM (weighted blend of real donor values),2.0,Pluss Advanced Technologies,savE® OM39,0.728,2.02,Pluss Advanced Technologies,savE® OM48,0.205,1.98,Pluss Advanced Technologies,savE® HS36,0.066
RT54HC,Rubitherm Technologies,Cp_solid,2.4054,MICE + Random Forest + PMM (weighted blend of real donor values),2.5,Pluss Advanced Technologies,savE® OM46,0.538,2.57,Pluss Advanced Technologies,savE® OM35,0.24,2.0,Pluss Advanced Technologies,savE® OM39,0.223
RT55,Rubitherm Technologies,Cp_solid,2.001,MICE + Random Forest + PMM (weighted blend of real donor values),2.0,Pluss Advanced Technologies,savE® OM39,0.889,2.02,Pluss Advanced Technologies,savE® OM48,0.079,1.98,Pluss Advanced Technologies,savE® HS36,0.032
RT64HC,Rubitherm Technologies,Cp_solid,2.3726,MICE + Random Forest + PMM (weighted blend of real donor values),2.5,Pluss Advanced Technologies,savE® OM46,0.471,2.0,Pluss Advanced Technologies,savE® OM39,0.288,2.57,Pluss Advanced Technologies,savE® OM35,0.24
RT35,Rubitherm Technologies,TC_liquid,0.3332,MICE + Random Forest + PMM (weighted blend of real donor values),0.47,Pluss Advanced Technologies,savE® HS36,0.554,0.165,Pluss Advanced Technologies,savE® OM39,0.272,0.16,Pluss Advanced Technologies,savE® OM35,0.174
RT38,Rubitherm Technologies,TC_liquid,0.1577,MICE + Random Forest + PMM (weighted blend of real donor values),0.16,Pluss Advanced Technologies,savE® OM35,0.502,0.165,Pluss Advanced Technologies,savE® OM39,0.361,0.13,Pluss Advanced Technologies,savE® OM37,0.137
RT42,Rubitherm Technologies,TC_liquid,0.16,MICE + Random Forest + PMM (weighted blend of real donor values),0.16,Pluss Advanced Technologies,savE® OM35,0.996,0.165,Pluss Advanced Technologies,savE® OM39,0.002,0.13,Pluss Advanced Technologies,savE® OM37,0.002
RT44HC,Rubitherm Technologies,TC_liquid,0.1292,MICE + Random Forest + PMM (weighted blend of real donor values),0.13,Pluss Advanced Technologies,savE® OM37,0.779,0.14,Pluss Advanced Technologies,savE® OM50,0.145,0.1,Pluss Advanced Technologies,savE® OM48,0.076
RT45HC,Rubitherm Technologies,TC_liquid,0.1235,MICE + Random Forest + PMM (weighted blend of real donor values),0.14,Pluss Advanced Technologies,savE® OM50,0.471,0.1,Pluss Advanced Technologies,savE® OM48,0.374,0.13,Pluss Advanced Technologies,savE® OM37,0.155
RT47,Rubitherm Technologies,TC_liquid,0.1982,MICE + Random Forest + PMM (weighted blend of real donor values),0.165,Pluss Advanced Technologies,savE® OM39,0.701,0.16,Pluss Advanced Technologies,savE® OM35,0.187,0.47,Pluss Advanced Technologies,savE® HS36,0.112
