product,manufacturer,pcm_type,is_rt_line,appearance,Tm_melting,Tm_freezing,Tm_nucleation,latent_heat_melting,latent_heat_freezing,heat_storage_Wh_kg,density_liquid,density_solid,Cp_liquid,Cp_solid,TC_liquid,TC_solid,TC_both,volume_expansion,max_op_temp,flash_point,cycles_tested,flammability
savE® HS36,Pluss Advanced Technologies,Inorganic,0,Off-White to pale yellow solid @25°C,35.0,36.0,34.0,163.0,163.0,48.0,1850.0,1967.0,2.32,1.98,0.47,0.5,0.2,12.5,90.0,198.0,2000.0,No
savE® OM35,Pluss Advanced Technologies,Organic,0,White waxy flakes/solid @25°C,35.0,34.0,33.3,171.0,202.0,51.0,870.0,900.0,2.78,2.57,0.16,0.2,0.2,11.8,90.0,200.0,2000.0,Yes
savE® OM37,Pluss Advanced Technologies,Organic,0,White waxy flakes @25°C,38.0,36.0,36.0,186.0,196.0,62.0,860.0,973.0,2.63,2.55,0.13,0.16,0.2,11.8,90.0,198.0,2000.0,No
savE® OM39,Pluss Advanced Technologies,Organic,0,White flakes @25°C,39.0,35.0,34.3,229.0,228.0,54.0,824.0,850.0,2.4,2.0,0.165,0.19,0.2,12.5,90.0,199.0,2000.0,No
savE® OM42,Pluss Advanced Technologies,Organic,0,White solid @25°C,44.0,43.0,42.3,199.0,190.0,56.0,863.0,903.0,2.78,2.71,0.1,0.19,0.2,12.5,90.0,200.0,2000.0,Yes
savE® OM46,Pluss Advanced Technologies,Organic,0,White waxy solid @25°C,47.0,45.0,45.0,177.0,182.0,56.0,880.0,917.0,2.7,2.5,0.1,0.2,0.2,12.5,90.0,198.0,2000.0,No
savE® OM48,Pluss Advanced Technologies,Organic,0,White waxy solid @25°C,51.0,48.0,47.3,165.0,172.0,53.0,875.0,960.0,2.35,2.02,0.1,0.2,0.2,12.5,90.0,200.0,2000.0,Yes
savE® OM50,Pluss Advanced Technologies,Organic,0,White color waxy solid @25°C,50.0,50.0,49.3,189.0,204.0,53.0,859.0,961.0,2.78,3.33,0.14,0.21,0.2,11.8,90.0,200.0,2000.0,Yes
RT35,Rubitherm Technologies,Organic,1,White flakes @25°C,35.0,35.0,34.3,160.0,201.0,45.0,770.0,860.0,2.0,2.01,0.333,0.202,0.2,12.5,65.0,165.0,2000.0,No
RT38,Rubitherm Technologies,Organic,1,White flakes @25°C,38.0,38.0,37.3,170.0,197.0,47.0,750.0,880.0,2.0,2.02,0.158,0.2,0.2,12.5,70.0,165.0,2000.0,No
RT42,Rubitherm Technologies,Organic,1,White flakes @25°C,41.0,42.0,41.3,165.0,196.0,48.0,760.0,880.0,2.0,2.01,0.16,0.2,0.2,12.5,72.0,186.0,2000.0,No
RT44HC,Rubitherm Technologies,Organic,1,White flakes @25°C,43.0,43.0,42.3,250.0,199.0,70.0,700.0,800.0,2.0,2.18,0.129,0.177,0.2,12.5,70.0,180.0,2000.0,No
RT45HC,Rubitherm Technologies,Organic,1,White waxy solid @25°C,47.0,45.0,44.3,230.0,200.0,64.0,800.0,900.0,2.0,2.37,0.123,0.18,0.2,12.0,75.0,155.0,2000.0,No
RT47,Rubitherm Technologies,Organic,1,White waxy solid @25°C,46.0,47.0,46.3,160.0,197.0,46.0,770.0,880.0,2.0,2.0,0.198,0.2,0.2,12.0,65.0,180.0,2000.0,No
RT50,Rubitherm Technologies,Organic,1,White waxy solid @25°C,49.0,50.0,49.3,160.0,196.0,46.0,760.0,880.0,2.0,2.0,0.162,0.201,0.2,12.5,70.0,200.0,2000.0,Yes
RT54HC,Rubitherm Technologies,Organic,1,White color waxy solid @25°C,54.0,54.0,53.3,200.0,197.0,56.0,850.0,990.0,2.0,2.41,0.14,0.208,0.2,11.8,85.0,200.0,2000.0,Yes
RT55,Rubitherm Technologies,Organic,1,White waxy solid @25°C,55.0,55.0,54.3,170.0,198.0,48.0,770.0,880.0,2.0,2.0,0.163,0.201,0.2,14.0,90.0,200.0,2000.0,Yes
RT64HC,Rubitherm Technologies,Organic,1,White waxy solid @25°C,64.0,64.0,63.3,250.0,200.0,70.0,800.0,900.0,2.0,2.37,0.123,0.179,0.2,11.0,95.0,190.0,2000.0,No
