product,manufacturer,pcm_type_raw,pcm_type,is_rt_line,Tm_melting,Tm_melting_imputed,Tm_melting_original_text,Tm_freezing,Tm_freezing_imputed,Tm_freezing_original_text,Tm_nucleation,Tm_nucleation_imputed,Tm_nucleation_original_text,latent_heat_melting,latent_heat_melting_imputed,latent_heat_melting_original_text,latent_heat_freezing,latent_heat_freezing_imputed,latent_heat_freezing_original_text,heat_storage_Wh_kg,heat_storage_Wh_kg_imputed,heat_storage_Wh_kg_original_text,density_liquid,density_liquid_imputed,density_liquid_original_text,density_solid,density_solid_imputed,density_solid_original_text,Cp_liquid,Cp_liquid_imputed,Cp_liquid_original_text,Cp_solid,Cp_solid_imputed,Cp_solid_original_text,TC_liquid,TC_liquid_imputed,TC_liquid_original_text,TC_solid,TC_solid_imputed,TC_solid_original_text,TC_both,TC_both_imputed,TC_both_original_text,volume_expansion,volume_expansion_imputed,volume_expansion_original_text,max_op_temp,max_op_temp_imputed,max_op_temp_original_text,flash_point,flash_point_imputed,flash_point_original_text,cycles_tested,cycles_tested_imputed,cycles_tested_original_text,cycles_tested_status,flammability,flammability_imputed,appearance,appearance_imputed
savE® HS36,Pluss Advanced Technologies,Inorganic,Inorganic,0,35.0,False,35,36.0,False,36,34.0,False,34.0,163.0,False,163,163.0,False,163.0,48.0,True,Not reported by manufacturer,1850.0,False,1850,1967.0,False,1967,2.32,False,2.32,1.98,False,1.98,0.47,False,0.47,0.5,False,0.5,0.2,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,90.0,False,90,198.0,True,Not reported by manufacturer,2000.0,False,~2000,Reported by manufacturer,No,False,Off-White to pale yellow solid @25°C,False
savE® OM35,Pluss Advanced Technologies,Organic,Organic,0,35.0,False,35,34.0,False,34,33.3,True,Not reported by manufacturer,171.0,False,171,202.0,False,202.0,51.0,True,Not reported by manufacturer,870.0,False,870,900.0,False,900,2.78,False,2.78,2.57,False,2.57,0.16,False,0.16,0.2,False,0.2,0.2,True,Not reported by manufacturer,11.8,True,Not reported by manufacturer,90.0,False,90,200.0,False,200,2000.0,False,~2000,Reported by manufacturer,Yes,False,White waxy flakes/solid @25°C,False
savE® OM37,Pluss Advanced Technologies,Organic,Organic,0,38.0,False,38,36.0,False,36,36.0,False,36.0,186.0,False,186,196.0,False,196.0,62.0,True,Not reported by manufacturer,860.0,False,860,973.0,False,973,2.63,False,2.63,2.55,False,2.55,0.13,False,0.13,0.16,False,0.16,0.2,True,Not reported by manufacturer,11.8,True,Not reported by manufacturer,90.0,False,90,198.0,True,Not reported by manufacturer,2000.0,False,~2000,Reported by manufacturer,No,False,White waxy flakes @25°C,False
savE® OM39,Pluss Advanced Technologies,Organic,Organic,0,39.0,False,39,35.0,False,35,34.3,True,Not reported by manufacturer,229.0,False,229,228.0,False,228.0,54.0,True,Not reported by manufacturer,824.0,False,824,850.0,False,850,2.4,False,2.4,2.0,False,2.0,0.165,False,0.165,0.19,False,0.19,0.2,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,90.0,False,90 (provisional),199.0,True,Not reported by manufacturer,2000.0,True,Under Trial,Under trial (estimate below),No,False,White flakes @25°C,False
savE® OM42,Pluss Advanced Technologies,Organic,Organic,0,44.0,False,44,43.0,False,43,42.3,True,Not reported by manufacturer,199.0,False,199,190.0,False,190.0,56.0,True,Not reported by manufacturer,863.0,False,863,903.0,False,903,2.78,False,2.78,2.71,False,2.71,0.1,False,0.1,0.19,False,0.19,0.2,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,90.0,False,90,200.0,False,200,2000.0,False,~2000,Reported by manufacturer,Yes,False,White solid @25°C,False
savE® OM46,Pluss Advanced Technologies,Organic,Organic,0,47.0,False,47,45.0,False,45,45.0,False,45.0,177.0,False,177,182.0,False,182.0,56.0,True,Not reported by manufacturer,880.0,False,880,917.0,False,917,2.7,False,2.7,2.5,False,2.5,0.1,False,0.1,0.2,False,0.2,0.2,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,90.0,False,90,198.0,True,Not reported by manufacturer,2000.0,False,~2000,Reported by manufacturer,No,False,White waxy solid @25°C,False
savE® OM48,Pluss Advanced Technologies,Organic,Organic,0,51.0,False,51,48.0,False,48,47.3,True,Not reported by manufacturer,165.0,False,165,172.0,False,172.0,53.0,True,Not reported by manufacturer,875.0,False,875,960.0,False,960,2.35,False,2.35,2.02,False,2.02,0.1,False,0.1,0.2,False,0.2,0.2,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,90.0,False,90,200.0,False,200,2000.0,False,~2000,Reported by manufacturer,Yes,False,White waxy solid @25°C,False
savE® OM50,Pluss Advanced Technologies,Organic,Organic,0,50.0,False,50,50.0,False,50,49.3,True,Not reported by manufacturer,189.0,False,189,204.0,False,204.0,53.0,True,Not reported by manufacturer,859.0,False,859,961.0,False,961,2.78,False,2.78,3.33,False,3.33,0.14,False,0.14,0.21,False,0.21,0.2,True,Not reported by manufacturer,11.8,True,Not reported by manufacturer,90.0,False,90,200.0,False,200,2000.0,False,~2000,Reported by manufacturer,Yes,False,White color waxy solid @25°C,False
RT35,Rubitherm Technologies,Organic (RT-line),Organic,1,35.0,False,32-38 (peak: 35),35.0,False,38-32 (peak: 35),34.3,True,Not reported by manufacturer,160.0,False,160,201.0,True,Not reported by manufacturer,45.0,False,45.0,770.0,False,770,860.0,False,860,2.0,False,2.0,2.01,True,Not reported by manufacturer,0.333,True,Not reported by manufacturer,0.202,True,Not reported by manufacturer,0.2,False,0.2,12.5,False,12.5,65.0,False,65,165.0,False,165,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,No,True,White flakes @25°C,True
RT38,Rubitherm Technologies,Organic (RT-line),Organic,1,38.0,False,34-39 (peak: 38),38.0,False,39-34 (peak: 38),37.3,True,Not reported by manufacturer,170.0,False,170,197.0,True,Not reported by manufacturer,47.0,False,47.0,750.0,False,750,880.0,False,880,2.0,False,2.0,2.02,True,Not reported by manufacturer,0.158,True,Not reported by manufacturer,0.2,True,Not reported by manufacturer,0.2,False,0.2,12.5,False,~12.5,70.0,False,70,165.0,False,165,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,No,True,White flakes @25°C,True
RT42,Rubitherm Technologies,Organic (RT-line),Organic,1,41.0,False,38-43 (peak: 41),42.0,False,43-37 (peak: 42),41.3,True,Not reported by manufacturer,165.0,False,165,196.0,True,Not reported by manufacturer,48.0,False,48.0,760.0,False,760,880.0,False,880,2.0,False,2.0,2.01,True,Not reported by manufacturer,0.16,True,Not reported by manufacturer,0.2,True,Not reported by manufacturer,0.2,False,0.2,12.5,False,12.5,72.0,False,72,186.0,False,186,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,No,True,White flakes @25°C,True
RT44HC,Rubitherm Technologies,Organic (RT-line),Organic,1,43.0,False,41-44 (peak: 43),43.0,False,44-40 (peak: 43),42.3,True,Not reported by manufacturer,250.0,False,250,199.0,True,Not reported by manufacturer,70.0,False,70.0,700.0,False,700,800.0,False,800,2.0,False,2.0,2.18,True,Not reported by manufacturer,0.129,True,Not reported by manufacturer,0.177,True,Not reported by manufacturer,0.2,False,0.2,12.5,False,12.5,70.0,False,70,180.0,False,>180,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,No,True,White flakes @25°C,True
RT45HC,Rubitherm Technologies,Organic (RT-line),Organic,1,47.0,False,45-48 (peak: 47),45.0,False,44-47 (peak: 45),44.3,True,Not reported by manufacturer,230.0,False,230,200.0,True,Not reported by manufacturer,64.0,False,64.0,800.0,False,~800,900.0,False,~900,2.0,False,2.0,2.37,True,Not reported by manufacturer,0.123,True,Not reported by manufacturer,0.18,True,Not reported by manufacturer,0.2,False,0.2,12.0,False,~12,75.0,False,75,155.0,False,155,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,No,True,White waxy solid @25°C,True
RT47,Rubitherm Technologies,Organic (RT-line),Organic,1,46.0,False,41-48 (peak: 46),47.0,False,48-41 (peak: 47),46.3,True,Not reported by manufacturer,160.0,False,160,197.0,True,Not reported by manufacturer,46.0,False,46.0,770.0,False,770,880.0,False,880,2.0,False,2.0,2.0,True,Not reported by manufacturer,0.198,True,Not reported by manufacturer,0.2,True,Not reported by manufacturer,0.2,False,0.2,12.0,False,12,65.0,False,65,180.0,False,>180,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,No,True,White waxy solid @25°C,True
RT50,Rubitherm Technologies,Organic (RT-line),Organic,1,49.0,False,45-51 (peak: 49),50.0,False,51-46 (peak: 50),49.3,True,Not reported by manufacturer,160.0,False,160,196.0,True,Not reported by manufacturer,46.0,False,46.0,760.0,False,760,880.0,False,880,2.0,False,2.0,2.0,True,Not reported by manufacturer,0.162,True,Not reported by manufacturer,0.201,True,Not reported by manufacturer,0.2,False,0.2,12.5,False,12.5,70.0,False,70,200.0,False,>200,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
RT54HC,Rubitherm Technologies,Organic (RT-line),Organic,1,54.0,False,53-54 (peak: 54),54.0,False,54-53 (peak: 54),53.3,True,Not reported by manufacturer,200.0,False,200,197.0,True,Not reported by manufacturer,56.0,False,56.0,850.0,False,850,990.0,False,990,2.0,False,2.0,2.41,True,Not reported by manufacturer,0.14,True,Not reported by manufacturer,0.208,True,Not reported by manufacturer,0.2,False,0.2,11.8,True,Not reported by manufacturer,85.0,False,85,200.0,True,Not reported by manufacturer,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White color waxy solid @25°C,True
RT55,Rubitherm Technologies,Organic (RT-line),Organic,1,55.0,False,51-57 (peak: 55),55.0,False,56-57 (peak: 55),54.3,True,Not reported by manufacturer,170.0,False,170,198.0,True,Not reported by manufacturer,48.0,False,48.0,770.0,False,770,880.0,False,880,2.0,False,2.0,2.0,True,Not reported by manufacturer,0.163,True,Not reported by manufacturer,0.201,True,Not reported by manufacturer,0.2,False,0.2,14.0,False,14,90.0,False,90,200.0,False,>200,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
RT64HC,Rubitherm Technologies,Organic (RT-line),Organic,1,64.0,False,63-65 (peak: 64),64.0,False,64-61 (peak: 64),63.3,True,Not reported by manufacturer,250.0,False,250,200.0,True,Not reported by manufacturer,70.0,False,70.0,800.0,False,~800,900.0,False,~900,2.0,False,2.0,2.37,True,Not reported by manufacturer,0.123,True,Not reported by manufacturer,0.179,True,Not reported by manufacturer,0.2,False,0.2,11.0,False,11,95.0,False,95,190.0,False,>190,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,No,True,White waxy solid @25°C,True
