product,pcm_type,Tm_melting,Tm_freezing,Tm_nucleation,latent_heat_melting,latent_heat_freezing,heat_storage_Wh_kg,density_liquid,density_solid,Cp_liquid,Cp_solid,TC_liquid,TC_solid,TC_both,volume_expansion,max_op_temp,flammability,flash_point,cycles_tested,latent_per_degree,latent_heat_avg,Tm_range,rho_H_MJ_m3,TC_ratio,Cp_avg,density_avg,cycles_confidence,flash_point_known,pcm_type_code,flammability_enc,pcm_suitability_score
savE® HS36,Inorganic,35.0,36.0,34.0,163.0,163.0,54.0,1850.0,1967.0,2.32,1.98,0.47,0.5,0.485,11.75,90.0,No,166.0,2000.0,-163.000163000163,163.0,-1.0,320.621,0.94,2.15,1908.5,1.0,1,0,0,0.7097428030511732
savE® OM35,Organic,35.0,34.0,34.0,171.0,202.0,47.4,870.0,900.0,2.78,2.57,0.16,0.2,0.18,12.75,90.0,Yes,200.0,2000.0,170.99982900017102,186.5,1.0,167.85,0.7999999999999999,2.675,885.0,1.0,1,1,2,0.29168515248433824
savE® OM37,Organic,38.0,36.0,36.0,186.0,196.0,49.6,860.0,973.0,2.63,2.55,0.13,0.16,0.14500000000000002,12.75,90.0,No,200.0,2000.0,92.99995350002324,191.0,2.0,185.843,0.8125,2.59,916.5,1.0,1,1,0,0.28645734911481585
savE® OM39,Organic,39.0,35.0,35.0,229.0,228.0,47.4,824.0,850.0,2.4,2.0,0.165,0.19,0.1775,13.2,90.0,No,198.6,0.0,57.249985687503575,228.5,4.0,194.225,0.868421052631579,2.2,837.0,0.0,1,1,0,0.2751868272568434
savE® OM42,Organic,44.0,43.0,43.0,199.0,190.0,55.0,863.0,903.0,2.78,2.71,0.1,0.19,0.14500000000000002,12.8,90.0,Yes,200.0,2000.0,198.99980100019903,194.5,1.0,175.6335,0.5263157894736842,2.745,883.0,1.0,1,1,2,0.300125229176588
savE® OM46,Organic,47.0,45.0,45.0,177.0,182.0,47.4,880.0,917.0,2.7,2.5,0.1,0.2,0.15000000000000002,12.75,90.0,No,200.0,2000.0,88.49995575002212,179.5,2.0,164.6015,0.5,2.6,898.5,1.0,1,1,0,0.2746267129051652
savE® OM48,Organic,51.0,48.0,48.0,165.0,172.0,49.6,875.0,960.0,2.35,2.02,0.1,0.2,0.15000000000000002,12.75,90.0,Yes,200.0,2000.0,54.999981666672774,168.5,3.0,161.76,0.5,2.185,917.5,1.0,1,1,2,0.26396424971440274
savE® OM50,Organic,50.0,50.0,50.0,189.0,204.0,55.0,859.0,961.0,2.78,3.33,0.14,0.21,0.175,12.95,90.0,Yes,200.0,2000.0,189000000.0,196.5,0.0,188.8365,0.6666666666666667,3.0549999999999997,910.0,1.0,1,1,2,0.31469961137555075
RT35,Organic (RT-line),35.0,35.0,35.0,160.0,160.0,45.0,770.0,860.0,2.0,2.62,0.21850000000000006,0.21999999999999997,0.2,12.5,65.0,Unknown,165.0,0.0,160000000.0,160.0,0.0,137.6,0.9931818181818185,2.31,815.0,0.0,1,2,1,0.12783881501726013
RT38,Organic (RT-line),38.0,38.0,38.0,170.0,170.0,47.0,750.0,880.0,2.0,2.62,0.21850000000000006,0.21999999999999997,0.2,12.5,70.0,Unknown,165.0,0.0,170000000.0,170.0,0.0,149.6,0.9931818181818185,2.31,815.0,0.0,1,2,1,0.1377859668556889
