pcm_id,product_name,manufacturer,source_type,pcm_type,family,Tm_C,Tm_C_status,Tm_freezing_C,Tm_freezing_C_status,latent_heat_kJ_kg,latent_heat_status,density_liquid_kg_m3,density_liquid_status,density_solid_kg_m3,density_solid_status,Cp_liquid_kJ_kgK,Cp_liquid_status,Cp_solid_kJ_kgK,Cp_solid_status,TC_liquid_W_mK,TC_solid_W_mK,TC_W_mK,TC_status,cycles_tested,cycles_status,supercooling_K,supercooling_status,supercooling_is_derived,flammability,flammability_status,is_inorganic,n_properties_imputed,any_property_imputed,data_source_detail,rho_H_MJ_m3,rho_H_status,rho_H_is_derived,Cp_avg_kJ_kgK,Cp_avg_status,Cp_avg_is_derived
1,RT42,Rubitherm Technologies,Manufacturer,Organic (RT-line),Organic (RT-line),40.5,Reported,40.0,Reported,165.0,Reported,760.0,Reported,880.0,Reported,2.0,Reported,2.0,Reported,0.15,0.207,0.1785,Imputed,1564.0,Imputed,0.5,Reported,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,145.2,Reported,True,2.0,Reported,True
2,RT44HC,Rubitherm Technologies,Manufacturer,Organic (RT-line),Organic (RT-line),42.5,Reported,42.5,Reported,250.0,Reported,750.0,Reported,800.0,Reported,2.0,Reported,2.0,Reported,0.174,0.306,0.24,Imputed,1216.0,Imputed,0.0,Reported,True,No,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,200.0,Reported,True,2.0,Reported,True
3,Myristic-Palmitic eutectic (58/42),Singh2025_Table2,Literature,Organic eutectic,Eutectic,42.6,Reported,,Missing,169.7,Reported,,Missing,,Missing,,Missing,,Missing,,,,Missing,,Missing,,Missing,False,Unknown,Missing,False,0,False,Singh2025_Table2_Literature,,Missing,False,,Missing,False
4,savE® OM42,Pluss Advanced Technologies,Manufacturer,Organic,Pluss savE,44.0,Reported,43.0,Reported,199.0,Reported,863.0,Reported,903.0,Reported,2.78,Reported,2.71,Reported,0.1,0.19,0.145,Reported,2000.0,Reported,1.0,Reported,True,Yes,Reported,False,1,True,MICE_RF_PMM_Cleaned_Dataset,179.697,Reported,True,2.745,Reported,True
5,n-Docosane (C22),Literature,Literature,Organic n-alkane,Organic n-alkane,44.5,Reported,44.3,Imputed,249.0,Reported,880.0,Reported,880.0,Reported,2.06,Imputed,2.0,Imputed,0.173,0.307,0.24,Imputed,1440.0,Imputed,0.2,Imputed,True,No,Imputed,False,7,True,MICE_RF_PMM_Cleaned_Dataset,219.12,Reported,True,2.03,Imputed,True
6,RT47,Rubitherm Technologies,Manufacturer,Organic (RT-line),Organic (RT-line),44.5,Reported,44.5,Reported,160.0,Reported,770.0,Reported,880.0,Reported,2.0,Reported,2.0,Reported,0.15,0.206,0.178,Imputed,1665.0,Imputed,0.0,Reported,True,No,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,140.8,Reported,True,2.0,Reported,True
7,Lauric acid (C12),Literature,Literature,Organic fatty acid,Organic fatty acid,44.8,Reported,44.8,Imputed,184.0,Reported,870.0,Reported,960.0,Imputed,1.6,Reported,2.0,Imputed,0.147,0.181,0.1639999999999999,Imputed,2000.0,Imputed,0.0,Imputed,True,Yes,Imputed,False,7,True,MICE_RF_PMM_Cleaned_Dataset,176.64,Reported,True,1.8,Imputed,True
8,RT45HC,Rubitherm Technologies,Manufacturer,Organic (RT-line),Organic (RT-line),45.0,Reported,45.0,Reported,240.0,Reported,770.0,Reported,880.0,Reported,2.0,Reported,2.0,Reported,0.174,0.306,0.24,Imputed,1216.0,Imputed,0.0,Reported,True,No,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,211.2,Reported,True,2.0,Reported,True
9,savE® OM46,Pluss Advanced Technologies,Manufacturer,Organic,Pluss savE,47.0,Reported,45.0,Reported,177.0,Reported,880.0,Reported,917.0,Reported,2.7,Reported,2.5,Reported,0.1,0.2,0.15,Reported,2000.0,Reported,2.0,Reported,True,No,Reported,False,1,True,MICE_RF_PMM_Cleaned_Dataset,162.309,Reported,True,2.6,Reported,True
10,n-Tricosane (C23),Literature,Literature,Organic n-alkane,Organic n-alkane,47.5,Reported,44.9,Imputed,232.0,Reported,780.0,Imputed,797.0,Imputed,2.39,Imputed,2.06,Imputed,0.171,0.307,0.239,Imputed,1216.0,Imputed,2.6,Imputed,True,No,Imputed,False,10,True,MICE_RF_PMM_Cleaned_Dataset,184.904,Imputed,True,2.225,Imputed,True
11,RT50,Rubitherm Technologies,Manufacturer,Organic (RT-line),Organic (RT-line),48.0,Reported,48.5,Reported,160.0,Reported,770.0,Reported,880.0,Reported,2.0,Reported,2.0,Reported,0.146,0.208,0.177,Imputed,1675.0,Imputed,0.0,Reported,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,140.8,Reported,True,2.0,Reported,True
12,Paraffin/Expanded graphite (85.56% paraffin),Literature,Literature,Organic/composite blend,Organic/composite blend,48.8,Reported,46.6,Imputed,161.0,Reported,869.0,Imputed,937.0,Imputed,2.01,Imputed,2.0,Imputed,0.139,0.193,0.166,Imputed,2000.0,Imputed,2.2,Imputed,True,Yes,Imputed,False,10,True,MICE_RF_PMM_Cleaned_Dataset,150.857,Imputed,True,2.005,Imputed,True
13,savE® OM49,Pluss Advanced Technologies,Manufacturer,Organic,Pluss savE,49.0,Reported,45.5,Reported,224.0,Reported,780.0,Reported,816.0,Reported,2.4,Reported,2.1,Reported,0.27,0.33,0.3,Reported,1200.0,Reported,3.5,Reported,True,No,Reported,False,1,True,MICE_RF_PMM_Cleaned_Dataset,182.784,Reported,True,2.25,Reported,True
14,Paraffin/HDPE PCM3,Literature,Literature,Organic blend,Organic blend,49.9,Reported,50.0,Imputed,187.0,Imputed,851.0,Imputed,952.0,Imputed,2.19,Imputed,2.02,Imputed,0.143,0.205,0.174,Imputed,2000.0,Imputed,0.0,Imputed,True,Yes,Imputed,False,11,True,MICE_RF_PMM_Cleaned_Dataset,178.024,Imputed,True,2.105,Imputed,True
15,savE® OM50,Pluss Advanced Technologies,Manufacturer,Organic,Pluss savE,50.0,Reported,50.0,Reported,189.0,Reported,859.0,Reported,961.0,Reported,2.78,Reported,3.33,Reported,0.14,0.21,0.175,Reported,2000.0,Reported,0.0,Reported,True,Yes,Reported,False,1,True,MICE_RF_PMM_Cleaned_Dataset,181.629,Reported,True,3.055,Reported,True
16,PlusICE A50,PCM Products Ltd.,Manufacturer,Organic PCM,Organic PCM,50.0,Reported,48.9,Imputed,190.0,Reported,810.0,Reported,810.0,Reported,2.15,Reported,2.15,Reported,0.18,0.18,0.18,Reported,1526.0,Imputed,1.1,Imputed,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,153.9,Reported,True,2.15,Reported,True
17,Paraffin/HDPE PCM6,Literature,Literature,Organic blend,Organic blend,50.3,Reported,49.3,Imputed,187.0,Imputed,851.0,Imputed,953.0,Imputed,2.19,Imputed,2.02,Imputed,0.143,0.206,0.1745,Imputed,2000.0,Imputed,1.0,Imputed,True,Yes,Imputed,False,11,True,MICE_RF_PMM_Cleaned_Dataset,178.211,Imputed,True,2.105,Imputed,True
18,Paraffin/HDPE PCM2,Literature,Literature,Organic blend,Organic blend,50.6,Reported,49.2,Imputed,187.0,Imputed,846.0,Imputed,954.0,Imputed,2.06,Imputed,2.02,Imputed,0.146,0.208,0.177,Imputed,2000.0,Imputed,1.4,Imputed,True,Yes,Imputed,False,11,True,MICE_RF_PMM_Cleaned_Dataset,178.398,Imputed,True,2.04,Imputed,True
19,savE® OM48,Pluss Advanced Technologies,Manufacturer,Organic,Pluss savE,51.0,Reported,48.0,Reported,165.0,Reported,875.0,Reported,960.0,Reported,2.35,Reported,2.02,Reported,0.1,0.2,0.15,Reported,2000.0,Reported,3.0,Reported,True,Yes,Reported,False,1,True,MICE_RF_PMM_Cleaned_Dataset,158.4,Reported,True,2.185,Reported,True
20,PlusICE A52,PCM Products Ltd.,Manufacturer,Organic PCM,Organic PCM,52.0,Reported,49.2,Imputed,220.0,Reported,810.0,Reported,810.0,Reported,2.15,Reported,2.15,Reported,0.18,0.18,0.18,Reported,1447.0,Imputed,2.8,Imputed,True,Yes,Imputed,False,4,True,MICE_RF_PMM_Cleaned_Dataset,178.2,Reported,True,2.15,Reported,True
21,n-Tetracosane (C24),Literature,Literature,Organic n-alkane,Organic n-alkane,52.0,Reported,49.3,Reported,255.0,Reported,799.0,Reported,799.0,Reported,2.39,Imputed,2.0,Imputed,0.173,0.306,0.2395,Imputed,1368.0,Imputed,2.7,Reported,True,Yes,Imputed,False,7,True,MICE_RF_PMM_Cleaned_Dataset,203.745,Reported,True,2.1950000000000003,Imputed,True
22,Paraffin/Expanded graphite (92% paraffin),Literature,Literature,Organic/composite blend,Organic/composite blend,52.2,Reported,49.2,Imputed,170.0,Reported,791.0,Imputed,871.0,Imputed,2.77,Imputed,3.2,Imputed,0.129,0.185,0.157,Imputed,2000.0,Imputed,3.0,Imputed,True,Yes,Imputed,False,10,True,MICE_RF_PMM_Cleaned_Dataset,148.07,Imputed,True,2.9850000000000003,Imputed,True
23,Palmitic-Stearic eutectic (64.2/35.8),Singh2025_Table2,Literature,Organic eutectic,Eutectic,52.3,Reported,,Missing,181.7,Reported,,Missing,,Missing,,Missing,,Missing,,,,Missing,,Missing,,Missing,False,Unknown,Missing,False,0,False,Singh2025_Table2_Literature,,Missing,False,,Missing,False
