cluster_id,medoid_point_id,pcm_name,candidate_status_label,pcm_mass_kg,melting_temp_degC,latent_heat_kJ_kg,supercooling_degC,morning_delivery_success_rate,evening_delivery_success_rate,overall_delivery_success_rate,hours_Tw_ge_50C_per_year,solar_fraction,complete_pcm_cycles_per_year,spinup_converged,spinup_cycles_run,max_step_residual_J,cum_rel_energy_error_pct,dt_sensitivity_passed,dt_sens_sf_rel_diff_pct,dt_sens_delivery_abs_diff_pp,dt_sens_cycles_abs_diff,dt_sens_cum_err_300s_pct,dt_sens_cum_err_150s_pct,ssrd_raw_energy_J_per_m2,ssrd_recon_conservation_err_pct,ssrd_nightclamp_loss_J_per_m2,validation_status
0,ASP_0012,Myristic-Palmitic eutectic (58/42),Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,50.0,42.6,169.7,,0.0,0.0923,0.0461,184.4,0.4976,22.3,True,2,0.0,0.0,True,0.0261,0.0137,0.2,0.0,0.0,31992022336.0,0.0,957091303.0,PASSED
0,ASP_0012,RT44HC,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,50.0,43.0,250.0,0.0,0.0,0.066,0.033,131.2,0.4968,8.9,True,2,0.0,0.0,True,0.0247,0.0137,0.0,0.0,0.0,31992022336.0,0.0,957091303.0,PASSED
0,ASP_0012,savE® OM42,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,50.0,44.0,199.0,1.0,0.0,0.0665,0.0333,135.3,0.4978,11.2,True,2,0.0,0.0,True,0.0266,0.0137,0.0,0.0,0.0,31992022336.0,0.0,957091303.0,PASSED
0,ASP_0012,C22H46 (docosane-class paraffin),Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,50.0,44.5,249.0,,0.0,0.0427,0.0214,81.7,0.4982,7.3,True,2,0.0,0.0,True,0.0273,0.0,0.1,0.0,0.0,31992022336.0,0.0,957091303.0,PASSED
0,ASP_0012,savE® OM46,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,50.0,47.0,177.0,2.0,0.0,0.0391,0.0196,75.7,0.5003,9.0,True,2,0.0,0.0,True,0.0308,0.0137,0.0,0.0,0.0,31992022336.0,0.0,957091303.0,PASSED
0,ASP_0012,RT45HC,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,50.0,47.0,230.0,2.0,0.0,0.0241,0.012,45.9,0.5001,4.1,True,2,0.0,0.0,True,0.0305,0.0,0.0,0.0,0.0,31992022336.0,0.0,957091303.0,PASSED
0,ASP_0012,savE® OM50,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,50.0,50.0,189.0,0.0,0.0148,0.0104,0.0126,331.0,0.5015,3.4,True,2,0.0,0.0,True,0.0323,0.0137,0.1,0.0,0.0,31992022336.0,0.0,957091303.0,PASSED
0,ASP_0012,savE® OM48,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,50.0,51.0,165.0,3.0,0.0214,0.2828,0.1521,723.8,0.5032,3.6,True,2,0.0,0.0,True,0.0363,0.0137,0.0,0.0,0.0,31992022336.0,0.0,957091303.0,PASSED
1,ASP_0092,Myristic-Palmitic eutectic (58/42),Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,50.0,42.6,169.7,,0.0003,0.0988,0.0495,209.4,0.5135,22.2,True,2,0.0,0.0,True,0.0268,0.0274,0.2,0.0,0.0,32499255936.0,0.0,958826928.0,PASSED
1,ASP_0092,RT44HC,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,50.0,43.0,250.0,0.0,0.0003,0.0764,0.0383,161.3,0.5126,9.2,True,2,0.0,0.0,True,0.0254,0.0137,0.0,0.0,0.0,32499255936.0,0.0,958826928.0,PASSED
1,ASP_0092,savE® OM42,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,50.0,44.0,199.0,1.0,0.0011,0.0777,0.0394,167.4,0.5134,10.7,True,2,0.0,0.0,True,0.0265,0.0137,0.0,0.0,0.0,32499255936.0,0.0,958826928.0,PASSED
1,ASP_0092,C22H46 (docosane-class paraffin),Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,50.0,44.5,249.0,,0.0003,0.0531,0.0267,108.5,0.5136,7.6,True,2,0.0,0.0,True,0.0273,0.0,0.0,0.0,0.0,32499255936.0,0.0,958826928.0,PASSED
1,ASP_0092,savE® OM46,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,50.0,47.0,177.0,2.0,0.0003,0.0493,0.0248,102.9,0.5155,9.6,True,2,0.0,0.0,True,0.0302,0.0,0.3,0.0,0.0,32499255936.0,0.0,958826928.0,PASSED
1,ASP_0092,RT45HC,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,50.0,47.0,230.0,2.0,0.0,0.0318,0.0159,66.8,0.5153,5.1,True,2,0.0,0.0,True,0.0305,0.0,0.0,0.0,0.0,32499255936.0,0.0,958826928.0,PASSED
1,ASP_0092,savE® OM50,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,50.0,50.0,189.0,0.0,0.023,0.0175,0.0203,348.6,0.5163,4.3,True,2,0.0,0.0,True,0.0312,0.0,0.1,0.0,0.0,32499255936.0,0.0,958826928.0,PASSED
