pcm_name,melting_temp_degC,historical_mcdm_rank,cluster_id,medoid_point_id,physics_delivery_rate,physics_delivery_rank,physics_solar_fraction,physics_solar_fraction_rank,physics_cycles_per_year,physics_cycles_rank,rank_difference_delivery,rank_difference_solar,rank_difference_cycles,candidate_status_label,validation_status
RT44HC,42.5,1,0,ASP_0003,0.0437,1,0.5061,8,11.2,6,0,7,5,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
savE® OM42,44.0,4,0,ASP_0003,0.04,2,0.5072,7,12.7,7,-2,3,3,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
n-Docosane (C22),44.5,2,0,ASP_0003,0.0264,4,0.5075,5,8.2,2,2,3,0,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
C22H46 (docosane-class paraffin),44.5,7,0,ASP_0003,0.0256,5,0.5075,5,8.4,4,-2,-2,-3,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
Lauric acid (C12),44.8,6,0,ASP_0003,0.0326,3,0.5084,3,19.2,8,-3,-3,2,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
RT45HC,45.0,3,0,ASP_0003,0.0238,7,0.508,4,8.2,2,4,1,-1,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
savE® OM46,47.0,8,0,ASP_0003,0.0252,6,0.5097,2,10.3,5,-2,-6,-3,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
n-Tricosane (C23),47.5,5,0,ASP_0003,0.0157,8,0.5102,1,4.0,1,3,-4,-4,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
RT44HC,42.5,1,1,ASP_0036,0.0372,1,0.5069,8,10.3,6,0,7,5,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
savE® OM42,44.0,4,1,ASP_0036,0.0356,2,0.5077,7,10.9,7,-2,3,3,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
n-Docosane (C22),44.5,2,1,ASP_0036,0.0235,5,0.5079,5,7.8,4,3,3,2,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
C22H46 (docosane-class paraffin),44.5,7,1,ASP_0036,0.0227,6,0.5079,5,7.7,2,-1,-2,-5,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
Lauric acid (C12),44.8,6,1,ASP_0036,0.0297,3,0.5087,3,14.6,8,-3,-3,2,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
RT45HC,45.0,3,1,ASP_0036,0.0215,7,0.5083,4,7.7,2,4,1,-1,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
savE® OM46,47.0,8,1,ASP_0036,0.0237,4,0.5097,2,9.6,5,-4,-6,-3,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
n-Tricosane (C23),47.5,5,1,ASP_0036,0.0145,8,0.5101,1,4.1,1,3,-4,-4,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
RT44HC,42.5,1,2,ASP_0080,0.0044,1,0.515,8,4.2,6,0,7,5,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
savE® OM42,44.0,4,2,ASP_0080,0.0038,2,0.5158,7,4.6,7,-2,3,3,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
n-Docosane (C22),44.5,2,2,ASP_0080,0.0021,4,0.5166,5,1.5,3,2,3,1,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
C22H46 (docosane-class paraffin),44.5,7,2,ASP_0080,0.0019,5,0.5166,5,1.5,3,-2,-2,-4,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
Lauric acid (C12),44.8,6,2,ASP_0080,0.0027,3,0.5169,3,6.4,8,-3,-3,2,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
RT45HC,45.0,3,2,ASP_0080,0.0016,7,0.5169,3,1.4,2,4,0,-1,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
savE® OM46,47.0,8,2,ASP_0080,0.0019,5,0.5176,2,1.6,5,-3,-6,-3,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
n-Tricosane (C23),47.5,5,2,ASP_0080,0.0004,8,0.5183,1,0.4,1,3,-4,-4,Phase 6-screened candidate evaluated independently under the final Phase 3 K=3 climate forcing; not an MCDM-ranked PCM.,PASSED
