k,BIC,AIC,silhouette,davies_bouldin,calinski_harabasz,bootstrap_ari_mean,bootstrap_effective_n_resamples,bootstrap_n_failed_resamples,kmeans_silhouette,in_silhouette_band
2,9889.877298770183,9482.338071690916,0.22707517257575385,1.7097753717897963,37.0269036932029,0.5710206972538451,50,0,0.23086670265123566,True
3,8952.307295088845,8339.553279905833,0.24962314520028553,1.5450622921217942,37.247154259834446,0.6302794946033695,50,0,0.252287213550965,True
4,8236.432560141116,7418.463756854359,0.23659892192448634,1.6046002380454047,31.998941399603545,0.5771024766453517,50,0,0.2585976330374033,True
5,7231.999912584496,6208.8163211939955,0.20256399724633564,1.536762447377662,27.88824096933333,0.5567140758153692,50,0,0.26160291725838086,True
6,7162.83260782702,5934.434228332775,0.2502995639627113,1.43187353092624,28.656410546507242,0.5830309196110443,50,0,0.28871769660786567,True
7,6599.216180110112,5165.603012512122,0.2692687931804291,1.2656042588449419,28.613583347275153,0.5830983071026175,50,0,0.27119511215189523,True
8,6340.699921737885,4701.871966036151,0.25370398441529635,1.3178300233983604,28.334877560964852,0.5898517268346016,50,0,0.27018842335625026,True
9,4555.895868792782,2711.8531249873026,0.25297151008996555,1.272941568234653,27.318225294836648,0.5751714870665157,50,0,0.25053029209489147,True
10,3950.0295214937005,1900.771989584477,0.20870200802316202,1.4290248188228811,26.166502973459185,0.5433781430456147,50,0,0.2775534532726745,True
11,4628.467926392365,2373.9956063793975,0.2532089389421875,1.2351344514871363,27.017349367016045,0.6094273597150202,50,0,0.2561409376275403,True
12,2620.1945055210745,160.50739740436165,0.2524352596147745,1.1145199673139372,26.258574656038242,0.6455628006849303,50,0,0.2748756049595156,True
