feature,F_statistic,p_value,chosen_k_levelB
Ta_mean,1027.1371678333628,6.837860600733079e-183,3
T_noon_mean,1003.1249243775549,9.784368121299843e-181,3
Ta_p95,948.7966953597802,1.0527275952977836e-175,3
T_sunset_mean,789.0392311022249,1.7397145978023892e-159,3
Ta_p05,762.1506935728643,1.6228783190445965e-156,3
T_sunrise_mean,697.7893146622632,4.438573706644191e-149,3
HSI_sunrise,552.4747637473513,2.834038466280827e-130,3
T_sunset_p95,549.9982159854093,6.326304006748549e-130,3
T_sunrise_p05,365.8797128090793,1.7250515869972788e-100,3
RH_sunrise_mean,258.4085585309212,5.1048209033453324e-79,3
GHI_noon_mean,234.20257193454887,1.4206466999456042e-73,3
daylength_mean,219.68793113528184,3.5107424858544157e-70,3
kt_noon_std,219.19691253176018,4.591446326377883e-70,3
kt_noon_mean,185.80645208679883,7.562763545134255e-62,3
diurnal_gradient,79.61037057535006,5.957081411078594e-31,3
GHI_sunset_mean,74.68056295582079,2.7077175640483836e-29,3
daylength_amplitude,38.42046268620718,2.631319946131331e-16,3
wind_sunset_mean,27.03433073989319,6.6246762964667e-12,3
wind_noon_mean,3.677622377367774,0.02593167740406748,3
