variable,season,event,n,MBE,RMSE,pearson_r
GHI,ALL,ALL,1457547,-0.2118,91.4177,0.967
GHI,Winter,ALL,360297,3.9447,78.1308,0.9753
GHI,Summer,ALL,367080,8.2714,82.7973,0.9802
GHI,Monsoon,ALL,367080,-3.4755,96.5994,0.958
GHI,Retreat,ALL,363090,-9.6132,105.4796,0.9461
GHI,ALL,sunrise,485849,-56.5745,67.8985,0.791
GHI,ALL,noon,485849,6.1441,131.0748,0.7751
GHI,ALL,sunset,485849,49.795,57.2779,0.6008
GHI,Winter,sunrise,120099,-37.1115,39.3717,0.4451
GHI,Winter,noon,120099,0.4261,114.9115,0.8339
GHI,Winter,sunset,120099,48.5195,59.6532,0.7274
GHI,Summer,sunrise,122360,-58.3218,72.119,0.7581
GHI,Summer,noon,122360,33.5789,112.8119,0.7174
GHI,Summer,sunset,122360,49.5569,51.3664,
GHI,Monsoon,sunrise,122360,-48.7895,63.814,0.8694
GHI,Monsoon,noon,122360,-10.7151,145.6439,0.6371
GHI,Monsoon,sunset,122360,49.0782,52.0571,0.0367
GHI,Retreat,sunrise,121030,-81.9919,87.139,0.6459
GHI,Retreat,noon,121030,1.1261,146.8097,0.7108
GHI,Retreat,sunset,121030,52.0261,65.0504,0.6379
T_amb,ALL,ALL,1457547,1.0809,2.7754,0.8454
T_amb,Winter,ALL,360297,1.3741,3.1619,0.7826
T_amb,Summer,ALL,367080,0.5455,2.9263,0.8162
T_amb,Monsoon,ALL,367080,1.2148,2.6571,0.8254
T_amb,Retreat,ALL,363090,1.1959,2.2814,0.8445
T_amb,ALL,sunrise,485849,1.4016,2.0579,0.8579
T_amb,ALL,noon,485849,-1.0009,2.6088,0.7603
T_amb,ALL,sunset,485849,2.8421,3.4738,0.8021
T_amb,Winter,sunrise,120099,1.6022,2.2754,0.7995
T_amb,Winter,noon,120099,-1.2466,2.5172,0.5969
T_amb,Winter,sunset,120099,3.7668,4.2986,0.5775
T_amb,Summer,sunrise,122360,0.9731,1.8132,0.7843
T_amb,Summer,noon,122360,-2.0449,3.2901,0.5806
T_amb,Summer,sunset,122360,2.7083,3.4026,0.715
T_amb,Monsoon,sunrise,122360,1.668,2.184,0.7634
T_amb,Monsoon,noon,122360,-0.6744,2.4779,0.6745
T_amb,Monsoon,sunset,122360,2.6509,3.2048,0.8071
T_amb,Retreat,sunrise,121030,1.3665,1.9277,0.7775
T_amb,Retreat,noon,121030,-0.0316,1.9704,0.7282
T_amb,Retreat,sunset,121030,2.2529,2.8313,0.7591
RHum,ALL,ALL,1457547,-2.933,12.5148,0.8192
RHum,Winter,ALL,360297,-4.881,13.6155,0.8119
RHum,Summer,ALL,367080,0.7457,12.4152,0.8417
RHum,Monsoon,ALL,367080,-2.7955,12.6578,0.7488
RHum,Retreat,ALL,363090,-4.8583,11.267,0.7966
RHum,ALL,sunrise,485849,-5.7354,9.5221,0.5615
RHum,ALL,noon,485849,6.7029,12.6651,0.7607
RHum,ALL,sunset,485849,-9.7666,14.7913,0.761
RHum,Winter,sunrise,120099,-6.5101,9.8291,0.3605
RHum,Winter,noon,120099,6.0232,12.2322,0.7888
RHum,Winter,sunset,120099,-14.1562,17.6043,0.7686
RHum,Summer,sunrise,122360,-3.387,9.2659,0.4629
RHum,Summer,noon,122360,11.0525,14.8702,0.69
RHum,Summer,sunset,122360,-5.4283,12.4672,0.7574
RHum,Monsoon,sunrise,122360,-6.8899,10.2833,0.5809
RHum,Monsoon,noon,122360,7.4563,13.1155,0.5779
RHum,Monsoon,sunset,122360,-8.953,14.2441,0.6288
RHum,Retreat,sunrise,121030,-6.1738,8.6255,0.5518
RHum,Retreat,noon,121030,2.2182,9.8984,0.7354
RHum,Retreat,sunset,121030,-10.6192,14.4382,0.6909
W_spd,ALL,ALL,1457547,-1.1408,1.6699,0.7332
W_spd,Winter,ALL,360297,-1.2428,1.5699,0.7861
W_spd,Summer,ALL,367080,-1.1013,1.5992,0.7156
W_spd,Monsoon,ALL,367080,-1.2557,1.9716,0.6784
W_spd,Retreat,ALL,363090,-0.9633,1.4946,0.7187
W_spd,ALL,sunrise,485849,-1.0578,1.4666,0.6979
W_spd,ALL,noon,485849,-1.3995,1.9484,0.7448
W_spd,ALL,sunset,485849,-0.9651,1.5553,0.6548
W_spd,Winter,sunrise,120099,-1.0987,1.3963,0.7457
W_spd,Winter,noon,120099,-1.5543,1.8501,0.7793
W_spd,Winter,sunset,120099,-1.0753,1.4217,0.6737
W_spd,Summer,sunrise,122360,-0.8584,1.2802,0.6691
W_spd,Summer,noon,122360,-1.227,1.6961,0.696
W_spd,Summer,sunset,122360,-1.2186,1.7766,0.6167
W_spd,Monsoon,sunrise,122360,-1.2223,1.7329,0.5634
W_spd,Monsoon,noon,122360,-1.6073,2.3875,0.6767
W_spd,Monsoon,sunset,122360,-0.9375,1.72,0.6139
W_spd,Retreat,sunrise,121030,-1.0523,1.4167,0.6997
W_spd,Retreat,noon,121030,-1.2103,1.781,0.7226
W_spd,Retreat,sunset,121030,-0.6273,1.2337,0.6612
