method_a,method_b,spearman_rho,kendall_tau,cluster_id
TOPSIS,PROMETHEE_II,0.6428571428571429,0.42857142857142855,0
TOPSIS,VIKOR,0.9523809523809524,0.8571428571428571,0
TOPSIS,GRA,0.9047619047619048,0.7857142857142856,0
PROMETHEE_II,VIKOR,0.5952380952380953,0.42857142857142855,0
PROMETHEE_II,GRA,0.7857142857142858,0.6428571428571428,0
VIKOR,GRA,0.9047619047619048,0.7857142857142856,0
TOPSIS,PROMETHEE_II,0.18787878787878787,0.022222222222222223,1
TOPSIS,VIKOR,0.32121212121212117,0.28888888888888886,1
TOPSIS,GRA,0.34545454545454546,0.28888888888888886,1
PROMETHEE_II,VIKOR,-0.1515151515151515,-0.15555555555555553,1
PROMETHEE_II,GRA,0.6242424242424242,0.4666666666666666,1
VIKOR,GRA,0.49090909090909085,0.37777777777777777,1
TOPSIS,PROMETHEE_II,0.4523809523809524,0.14285714285714285,2
TOPSIS,VIKOR,0.9523809523809524,0.8571428571428571,2
TOPSIS,GRA,0.9285714285714287,0.7857142857142856,2
PROMETHEE_II,VIKOR,0.4523809523809524,0.14285714285714285,2
PROMETHEE_II,GRA,0.5476190476190477,0.3571428571428571,2
VIKOR,GRA,0.9047619047619048,0.7857142857142856,2
