Product,Manufacturer,Type,Appearance,Melting Temperature (°C),Freezing/Congealing Temperature (°C),Nucleation Temperature (°C),Latent Heat - Melting (kJ/kg),Latent Heat - Freezing (kJ/kg),Heat Storage Capacity (Wh/kg),Density - Liquid (kg/m³),Density - Solid (kg/m³),Specific Heat - Liquid (kJ/kgK),Specific Heat - Solid (kJ/kgK),Thermal Conductivity - Liquid (W/mK),Thermal Conductivity - Solid (W/mK),Thermal Conductivity - Both Phases (W/mK),Volume Expansion (%),Max Operating Temperature (°C),Flammability,Flash Point (°C),Number of Cycles Tested
RT42,Rubitherm Technologies,Organic (RT-line),,38-43,43-37,,165.0,,48.0,760,880,2,2,,,0.2,12.5,72.0,,186,
RT44HC,Rubitherm Technologies,Organic (RT-line),,41-44,44-41,,250.0,,70.0,750,800,2,2,,,0.2,,70.0,,>180,
savE® OM42,Pluss Advanced Technologies,Organic,White solid @25°C,44,43,,199.0,190.0,,863,903,2.78,2.71,0.1,0.19,,,90.0,Yes,200,~2000
RT47,Rubitherm Technologies,Organic (RT-line),,41-48,48-41,,160.0,,46.0,770,880,2,2,,,0.2,12,65.0,,>180,
n-Docosane (C22),Literature,Organic n-alkane,,44.5,,,249.0,,,880,880,,,,,0.2,,,,,
Lauric acid (C12),Literature,Organic fatty acid,,43.6-46.0,,,184.4,,,870,,1.6,,0.147,,,,,,,
RT45HC,Rubitherm Technologies,Organic (RT-line),,43-47,47-43,,240.0,,64.0,770,880,2,2,,,0.2,12.5,75.0,,155,
savE® OM46,Pluss Advanced Technologies,Organic,White waxy solid @25°C,47,45,45.0,177.0,182.0,,880,917,2.7,2.5,0.1,0.2,,,90.0,No,,~2000
n-Tricosane (C23),Literature,Organic n-alkane,,47.5,,,232.0,,,,,,,,,,,,,,
RT50,Rubitherm Technologies,Organic (RT-line),,45-51,51-46,,160.0,,46.0,770,880,2,2,,,0.2,12.5,70.0,,>200,
Paraffin/Expanded graphite (85.56% paraffin),Literature,Organic/composite blend,,48.79,,,161.45,,,,,,,,,,,,,,
