product,manufacturer,pcm_type,appearance,Tm_melting,Tm_freezing,Tm_nucleation,latent_heat_melting,latent_heat_freezing,heat_storage_Wh_kg,density_liquid,density_solid,Cp_liquid,Cp_solid,TC_liquid,TC_solid,TC_both,volume_expansion,max_op_temp,flash_point,cycles_tested,flammability
RT42,Rubitherm Technologies,Organic (RT-line),White waxy solid @25°C,40.5,40.0,40.0,165.0,187.0,48.0,760.0,880.0,2.0,2.0,0.15,0.207,0.2,12.5,72.0,186.0,1564.0,Yes
RT44HC,Rubitherm Technologies,Organic (RT-line),White flakes at 25 °C,42.5,42.5,42.5,250.0,243.0,70.0,750.0,800.0,2.0,2.0,0.174,0.306,0.2,12.5,70.0,180.0,1216.0,No
savE® OM42,Pluss Advanced Technologies,Organic,White solid @25°C,44.0,43.0,43.0,199.0,190.0,48.0,863.0,903.0,2.78,2.71,0.1,0.19,0.429,12.9,90.0,200.0,2000.0,Yes
RT47,Rubitherm Technologies,Organic (RT-line),White waxy solid @25°C,44.5,44.5,44.5,160.0,175.0,46.0,770.0,880.0,2.0,2.0,0.15,0.206,0.2,12.0,65.0,180.0,1665.0,No
n-Docosane (C22),Literature,Organic n-alkane,White flakes at 25 °C,44.5,44.3,44.3,249.0,245.0,67.0,880.0,880.0,2.06,2.0,0.173,0.307,0.2,12.5,80.0,170.0,1440.0,No
Lauric acid (C12),Literature,Organic fatty acid,White waxy solid @25°C,44.8,44.8,44.8,184.0,196.0,48.0,870.0,960.0,1.6,2.0,0.147,0.181,0.2,12.5,83.0,202.0,2000.0,Yes
RT45HC,Rubitherm Technologies,Organic (RT-line),White flakes at 25 °C,45.0,45.0,45.0,240.0,240.0,64.0,770.0,880.0,2.0,2.0,0.174,0.306,0.2,12.5,75.0,155.0,1216.0,No
savE® OM46,Pluss Advanced Technologies,Organic,White waxy solid @25°C,47.0,45.0,45.0,177.0,182.0,48.0,880.0,917.0,2.7,2.5,0.1,0.2,0.35,13.1,90.0,206.0,2000.0,No
n-Tricosane (C23),Literature,Organic n-alkane,White flakes at 25 °C,47.5,44.9,44.9,232.0,241.0,64.0,780.0,797.0,2.39,2.06,0.171,0.307,0.209,12.5,90.0,170.0,1216.0,No
RT50,Rubitherm Technologies,Organic (RT-line),White waxy solid @25°C,48.0,48.5,48.5,160.0,174.0,46.0,770.0,880.0,2.0,2.0,0.146,0.208,0.2,12.5,70.0,200.0,1675.0,Yes
Paraffin/Expanded graphite (85.56% paraffin),Literature,Organic/composite blend,White waxy solid @25°C,48.8,46.6,46.6,161.0,175.0,46.0,869.0,937.0,2.01,2.0,0.139,0.193,0.2,12.5,90.0,200.0,2000.0,Yes
savE® OM49,Pluss Advanced Technologies,Organic,White flakes at 25 °C,49.0,45.5,45.5,224.0,230.0,64.0,780.0,816.0,2.4,2.1,0.27,0.33,0.208,12.5,100.0,170.0,1200.0,No
Paraffin/HDPE PCM3,Literature,Organic blend,White waxy solid @25°C,49.9,50.0,50.0,187.0,201.0,48.0,851.0,952.0,2.19,2.02,0.143,0.205,0.206,13.0,90.0,200.0,2000.0,Yes
PlusICE A50,PCM Products Ltd.,Organic PCM,White waxy solid @25°C,50.0,48.9,48.9,190.0,202.0,56.0,810.0,810.0,2.15,2.15,0.18,0.18,0.205,12.5,87.0,191.0,1526.0,Yes
savE® OM50,Pluss Advanced Technologies,Organic,White color waxy solid @25°C,50.0,50.0,50.0,189.0,204.0,48.0,859.0,961.0,2.78,3.33,0.14,0.21,0.336,13.0,90.0,200.0,2000.0,Yes
Paraffin/HDPE PCM6,Literature,Organic blend,White waxy solid @25°C,50.3,49.3,49.3,187.0,201.0,48.0,851.0,953.0,2.19,2.02,0.143,0.206,0.206,13.0,90.0,200.0,2000.0,Yes
Paraffin/HDPE PCM2,Literature,Organic blend,White waxy solid @25°C,50.6,49.2,49.2,187.0,201.0,48.0,846.0,954.0,2.06,2.02,0.146,0.208,0.205,13.0,90.0,200.0,2000.0,Yes
savE® OM48,Pluss Advanced Technologies,Organic,White waxy solid @25°C,51.0,48.0,48.0,165.0,172.0,46.0,875.0,960.0,2.35,2.02,0.1,0.2,0.208,12.7,90.0,200.0,2000.0,Yes
