product,manufacturer,pcm_type,Tm_melting,Tm_melting_imputed,Tm_melting_original_text,Tm_freezing,Tm_freezing_imputed,Tm_freezing_original_text,Tm_nucleation,Tm_nucleation_imputed,Tm_nucleation_original_text,latent_heat_melting,latent_heat_melting_imputed,latent_heat_melting_original_text,latent_heat_freezing,latent_heat_freezing_imputed,latent_heat_freezing_original_text,heat_storage_Wh_kg,heat_storage_Wh_kg_imputed,heat_storage_Wh_kg_original_text,density_liquid,density_liquid_imputed,density_liquid_original_text,density_solid,density_solid_imputed,density_solid_original_text,Cp_liquid,Cp_liquid_imputed,Cp_liquid_original_text,Cp_solid,Cp_solid_imputed,Cp_solid_original_text,TC_liquid,TC_liquid_imputed,TC_liquid_original_text,TC_solid,TC_solid_imputed,TC_solid_original_text,TC_both,TC_both_imputed,TC_both_original_text,volume_expansion,volume_expansion_imputed,volume_expansion_original_text,max_op_temp,max_op_temp_imputed,max_op_temp_original_text,flash_point,flash_point_imputed,flash_point_original_text,cycles_tested,cycles_tested_imputed,cycles_tested_original_text,cycles_tested_status,flammability,flammability_imputed,appearance,appearance_imputed
RT42,Rubitherm Technologies,Organic (RT-line),40.5,False,38-43,40.0,False,43-37,40.0,True,Not reported by manufacturer,165.0,False,165.0,187.0,True,Not reported by manufacturer,48.0,False,48.0,760.0,False,760.0,880.0,False,880.0,2.0,False,2.0,2.0,False,2.0,0.15,True,Not reported by manufacturer,0.207,True,Not reported by manufacturer,0.2,False,0.2,12.5,False,12.5,72.0,False,72.0,186.0,False,186,1564.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
RT44HC,Rubitherm Technologies,Organic (RT-line),42.5,False,41-44,42.5,False,44-41,42.5,True,Not reported by manufacturer,250.0,False,250.0,243.0,True,Not reported by manufacturer,70.0,False,70.0,750.0,False,750.0,800.0,False,800.0,2.0,False,2.0,2.0,False,2.0,0.174,True,Not reported by manufacturer,0.306,True,Not reported by manufacturer,0.2,False,0.2,12.5,True,Not reported by manufacturer,70.0,False,70.0,180.0,False,>180,1216.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,No,True,White flakes at 25 °C,True
savE® OM42,Pluss Advanced Technologies,Organic,44.0,False,44,43.0,False,43,43.0,True,Not reported by manufacturer,199.0,False,199.0,190.0,False,190.0,48.0,True,Not reported by manufacturer,863.0,False,863.0,903.0,False,903.0,2.78,False,2.78,2.71,False,2.71,0.1,False,0.1,0.19,False,0.19,0.429,True,Not reported by manufacturer,12.9,True,Not reported by manufacturer,90.0,False,90.0,200.0,False,200,2000.0,False,~2000,Reported by manufacturer,Yes,False,White solid @25°C,False
RT47,Rubitherm Technologies,Organic (RT-line),44.5,False,41-48,44.5,False,48-41,44.5,True,Not reported by manufacturer,160.0,False,160.0,175.0,True,Not reported by manufacturer,46.0,False,46.0,770.0,False,770.0,880.0,False,880.0,2.0,False,2.0,2.0,False,2.0,0.15,True,Not reported by manufacturer,0.206,True,Not reported by manufacturer,0.2,False,0.2,12.0,False,12.0,65.0,False,65.0,180.0,False,>180,1665.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,No,True,White waxy solid @25°C,True
n-Docosane (C22),Literature,Organic n-alkane,44.5,False,44.5,44.3,True,Not reported by manufacturer,44.3,True,Not reported by manufacturer,249.0,False,249.0,245.0,True,Not reported by manufacturer,67.0,True,Not reported by manufacturer,880.0,False,880.0,880.0,False,880.0,2.06,True,Not reported by manufacturer,2.0,True,Not reported by manufacturer,0.173,True,Not reported by manufacturer,0.307,True,Not reported by manufacturer,0.2,False,0.2,12.5,True,Not reported by manufacturer,80.0,True,Not reported by manufacturer,170.0,True,Not reported by manufacturer,1440.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,No,True,White flakes at 25 °C,True
Lauric acid (C12),Literature,Organic fatty acid,44.8,False,43.6-46.0,44.8,True,Not reported by manufacturer,44.8,True,Not reported by manufacturer,184.0,False,184.4,196.0,True,Not reported by manufacturer,48.0,True,Not reported by manufacturer,870.0,False,870.0,960.0,True,Not reported by manufacturer,1.6,False,1.6,2.0,True,Not reported by manufacturer,0.147,False,0.147,0.181,True,Not reported by manufacturer,0.2,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,83.0,True,Not reported by manufacturer,202.0,True,Not reported by manufacturer,2000.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
RT45HC,Rubitherm Technologies,Organic (RT-line),45.0,False,43-47,45.0,False,47-43,45.0,True,Not reported by manufacturer,240.0,False,240.0,240.0,True,Not reported by manufacturer,64.0,False,64.0,770.0,False,770.0,880.0,False,880.0,2.0,False,2.0,2.0,False,2.0,0.174,True,Not reported by manufacturer,0.306,True,Not reported by manufacturer,0.2,False,0.2,12.5,False,12.5,75.0,False,75.0,155.0,False,155,1216.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,No,True,White flakes at 25 °C,True
savE® OM46,Pluss Advanced Technologies,Organic,47.0,False,47,45.0,False,45,45.0,False,45.0,177.0,False,177.0,182.0,False,182.0,48.0,True,Not reported by manufacturer,880.0,False,880.0,917.0,False,917.0,2.7,False,2.7,2.5,False,2.5,0.1,False,0.1,0.2,False,0.2,0.35,True,Not reported by manufacturer,13.1,True,Not reported by manufacturer,90.0,False,90.0,206.0,True,Not reported by manufacturer,2000.0,False,~2000,Reported by manufacturer,No,False,White waxy solid @25°C,False
n-Tricosane (C23),Literature,Organic n-alkane,47.5,False,47.5,44.9,True,Not reported by manufacturer,44.9,True,Not reported by manufacturer,232.0,False,232.0,241.0,True,Not reported by manufacturer,64.0,True,Not reported by manufacturer,780.0,True,Not reported by manufacturer,797.0,True,Not reported by manufacturer,2.39,True,Not reported by manufacturer,2.06,True,Not reported by manufacturer,0.171,True,Not reported by manufacturer,0.307,True,Not reported by manufacturer,0.209,True,Not reported by manufacturer,12.5,True,Not reported by manufacturer,90.0,True,Not reported by manufacturer,170.0,True,Not reported by manufacturer,1216.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,No,True,White flakes at 25 °C,True
RT50,Rubitherm Technologies,Organic (RT-line),48.0,False,45-51,48.5,False,51-46,48.5,True,Not reported by manufacturer,160.0,False,160.0,174.0,True,Not reported by manufacturer,46.0,False,46.0,770.0,False,770.0,880.0,False,880.0,2.0,False,2.0,2.0,False,2.0,0.146,True,Not reported by manufacturer,0.208,True,Not reported by manufacturer,0.2,False,0.2,12.5,False,12.5,70.0,False,70.0,200.0,False,>200,1675.0,True,Not reported by manufacturer,Estimated via MICE-RF-PMM,Yes,True,White waxy solid @25°C,True
