point_id,lat,lon,population,cluster_id,max_membership_prob,prob_cluster0,prob_cluster1,prob_cluster2,prob_cluster3,prob_cluster4,recommended_pcm,recommended_family,recommended_rank
UKP_0001,29.875,77.875,1061040.7233288288,3,1.0,0.0,0.0,0.0,1.0,8.858120002237587e-76,PureTemp 58,PureTemp,1
UKP_0002,30.375,78.125,1050761.2446246743,1,1.0,0.0,1.0,0.0,0.0,2.7969028557268825e-98,PureTemp 58,PureTemp,1
UKP_0003,29.875,78.125,838310.5553430319,3,0.9999999967446196,0.0,0.0,0.0,0.9999999967446196,3.255380446851601e-09,PureTemp 58,PureTemp,1
UKP_0004,29.125,79.625,505832.9260216504,0,1.0,1.0,0.0,0.0,1.052634191491801e-65,1.6405561802995712e-52,PureTemp 58,PureTemp,1
UKP_0005,29.125,79.125,374134.08246964216,0,1.0,1.0,0.0,0.0,9.055471633963654e-63,1.5897216243183865e-52,PureTemp 58,PureTemp,1
UKP_0006,29.125,79.375,373862.8488861621,0,1.0,1.0,0.0,0.0,1.140111916814682e-64,1.832897773332789e-52,PureTemp 58,PureTemp,1
UKP_0007,30.375,77.875,369114.1082303375,4,1.0,0.0,0.0,0.0,3.2271075409911353e-66,1.0,PureTemp 58,PureTemp,1
UKP_0008,30.125,78.125,325783.2721641809,1,1.0,0.0,1.0,0.0,6.560536445754997e-276,8.359816897016005e-101,PureTemp 58,PureTemp,1
UKP_0009,28.875,79.375,324165.7969491482,3,1.0,0.0,0.0,0.0,1.0,1.2272949224599e-122,PureTemp 58,PureTemp,1
UKP_0010,28.875,79.875,290412.3912399858,3,1.0,0.0,0.0,0.0,1.0,5.2929788829690565e-118,PureTemp 58,PureTemp,1
UKP_0011,30.125,78.375,287139.0222759508,1,1.0,0.0,1.0,0.0,4.124488238481687e-279,3.912546927757513e-101,PureTemp 58,PureTemp,1
UKP_0012,28.875,79.625,251938.00302028656,3,1.0,0.0,0.0,0.0,1.0,1.357199773062122e-122,PureTemp 58,PureTemp,1
UKP_0013,29.125,78.875,249084.0672745705,3,1.0,0.0,0.0,0.0,1.0,6.147407822350363e-21,PureTemp 58,PureTemp,1
