point_id,lat,lon,population,cluster_id,max_membership_prob,prob_cluster0,prob_cluster1,prob_cluster2,prob_cluster3,prob_cluster4
TNP_0001,13.125,80.125,5068599.2233457565,0,1.0,1.0,9.006595642685102e-129,0.0,0.0,3.2873724735637107e-50
TNP_0002,12.875,80.125,3176285.3368492126,0,1.0,1.0,6.251459382647251e-73,0.0,0.0,8.520150230145936e-48
TNP_0003,13.125,80.375,2187441.213805318,0,1.0,1.0,3.5036196301281894e-163,0.0,0.0,4.216660785952977e-43
TNP_0004,9.875,78.125,2115244.36277926,3,1.0,0.0,1.2547186262914689e-50,0.0,1.0,9.027833887061908e-30
TNP_0005,11.625,78.125,1714135.3546363115,1,1.0,0.0,1.0,0.0,0.0,3.535499889258925e-17
TNP_0006,10.875,78.625,1304575.5502040386,3,1.0,0.0,2.747080465211144e-50,0.0,1.0,1.438778469161249e-35
TNP_0007,10.875,76.875,1258467.862797141,4,1.0,0.0,5.513789234168206e-115,0.0,0.0,1.0
TNP_0008,11.125,77.375,1234266.652519226,1,0.9999999999999998,0.0,0.9999999999999998,0.0,0.0,2.998066653342038e-16
TNP_0009,12.875,79.125,901144.725508362,2,1.0,0.0,5.996033110179692e-32,1.0,0.0,2.6873873292685065e-36
TNP_0010,11.625,79.625,890343.420427084,2,1.0,0.0,1.6732235940596162e-36,1.0,0.0,6.5536348731581044e-37
TNP_0011,8.125,77.375,856360.3904578686,4,1.0,0.0,5.76100889157236e-84,0.0,1.9732317423706838e-135,1.0
TNP_0012,11.375,77.625,850894.7885315418,1,0.9999999999999996,0.0,0.9999999999999996,0.0,0.0,5.329065261972209e-16
TNP_0013,11.875,79.625,793806.6025528908,2,1.0,0.0,1.7043324504571659e-35,1.0,0.0,3.665736349061809e-37
TNP_0014,10.875,79.375,761459.6739379168,2,1.0,0.0,1.428657646690025e-26,1.0,0.0,2.2557865326399335e-28
TNP_0015,11.125,77.125,759539.1904519796,1,0.9999999999238725,0.0,0.9999999999238725,0.0,0.0,7.612825739163827e-11
TNP_0016,11.125,79.625,705301.0805649757,2,1.0,0.0,9.641925128850898e-38,1.0,0.0,1.2528795406942623e-36
TNP_0017,11.125,76.875,686165.5627800226,4,1.0,5.0811121800981454e-228,3.074079230446734e-237,0.0,0.0,1.0
TNP_0018,10.875,77.125,667808.2734088898,1,0.9999554209042015,0.0,0.9999554209042015,0.0,0.0,4.4579095799851174e-05
TNP_0019,11.375,77.875,660676.1065044403,1,0.9999999999999996,0.0,0.9999999999999996,0.0,0.0,3.56828431568361e-16
