cluster_id,Tm_target_C,L_required_kJ_per_kg,name,family,pcm_type,Tm_C,Tm_freezing_C,latent_heat_kJ_kg,density_liquid_kg_m3,density_solid_kg_m3,Cp_liquid_kJ_kgK,Cp_solid_kJ_kgK,TC_W_mK,cycles_tested,cycles_tested_status,flammable,supercooling_K,n_properties_imputed,any_property_imputed,source,rho_H_MJ_m3,Cp_avg_kJ_kgK,cycles_confidence,in_absolute_band,corrosion_class,pass_melting_window,pass_absolute_band,pass_latent_heat,latent_heat_floor_used,cycling_known,pass_cycling,cycling_flag,supercooling_known,pass_supercooling,pass_corrosion,pass_safety,passes_all,window_lo,window_hi,window_relax_applied,f_Tm,latent_heat_margin_ratio,cycles_confidence_imputed,topsis_score,gra_grade,promethee_flow,vikor_Q,vikor_S,vikor_R,topsis_rank,gra_rank,promethee_rank,vikor_rank,vikor_compromise_note,borda_score,copeland_score,consensus_rank,copeland_rank,kendall_w,borda_copeland_agree,weight_f_Tm,weight_latent_heat_margin_ratio,weight_rho_H_MJ_m3,weight_TC_W_mK,weight_cycles_confidence,top3_inclusion_probability,top1_retention_rate,mean_spearman_rho_vs_baseline,n_draws
0,56.99999999999999,301.43035736006726,n-Octacosane (C28),Literature,Organic n-alkane,61.6,62.3,253.0,910.0,910.0,2.38,2.05,0.2665,1581.0,Estimated via MICE-RF-PMM,No,-0.6999999999999957,8,True,manufacturer_datasheet_MICE_RF_PMM_completed,230.23,2.215,0.969090284145708,True,low_organic,True,True,True,211.00125015204708,True,True,,True,True,True,True,True,51.99999999999999,65.0,0.0,0.5162056739454951,0.8393315199430434,False,0.6942799466243185,0.712970053533999,0.47020623919525556,0.0,0.2618477054613845,0.14892312409450062,1,1,1,1,single VIKOR winner acceptable,60.0,14.0,1,1,0.8419642857142857,True,0.24276120498186576,0.2349480908170868,0.15196445454719892,0.14921853948209785,0.22110771017175063,0.7682,0.5078,0.6842364285714284,5000
0,56.99999999999999,301.43035736006726,n-Hexacosane (C26),Literature,Organic n-alkane,56.5,56.2,256.0,770.0,770.0,2.38,2.2,0.238,1404.0,Estimated via MICE-RF-PMM,Yes,0.2999999999999971,7,True,manufacturer_datasheet_MICE_RF_PMM_completed,197.12,2.29,0.9534809845274094,True,low_organic,True,True,True,211.00125015204708,True,True,,True,True,True,True,True,51.99999999999999,65.0,0.0,0.9922179382602437,0.8492840676103522,False,0.5678844972983818,0.704388732956604,0.2587782466397442,0.32376182828056393,0.35621009418640825,0.19431287549958673,2,2,2,3,single VIKOR winner acceptable,55.0,12.0,2,2,0.8419642857142857,True,0.24276120498186576,0.2349480908170868,0.15196445454719892,0.14921853948209785,0.22110771017175063,0.3612,0.1064,0.6842364285714284,5000
0,56.99999999999999,301.43035736006726,PureTemp 58,PureTemp,Organic bio-based PCM,58.0,58.1,225.0,810.0,890.0,2.71,2.47,0.2,1620.0,Estimated via MICE-RF-PMM,Yes,-0.1000000000000014,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,200.25,2.59,0.972294084225764,True,low_organic,True,True,True,211.00125015204708,True,True,,True,True,True,True,True,51.99999999999999,65.0,0.0,0.9692332344763437,0.7464410750481612,False,0.5567452821356483,0.605899607875827,0.08435100388771362,0.3070953039063985,0.439331108816267,0.17764367842267537,3,4,5,2,single VIKOR winner acceptable,50.0,9.0,3,3,0.8419642857142857,True,0.24276120498186576,0.2349480908170868,0.15196445454719892,0.14921853948209785,0.22110771017175063,0.3982,0.1122,0.6842364285714284,5000
1,57.0,321.6108179759565,n-Octacosane (C28),Literature,Organic n-alkane,61.6,62.3,253.0,910.0,910.0,2.38,2.05,0.2665,1581.0,Estimated via MICE-RF-PMM,No,-0.6999999999999957,8,True,manufacturer_datasheet_MICE_RF_PMM_completed,230.23,2.215,0.969090284145708,True,low_organic,True,True,True,225.12757258316952,True,True,,True,True,True,True,True,52.0,65.0,0.0,0.5162056739454961,0.7866650804604284,False,0.6915713895321323,0.7198430335555014,0.5023766145127784,0.0,0.2662597077746317,0.14395996765296162,1,1,1,1,single VIKOR winner acceptable,36.0,8.0,1,1,0.9562499999999998,True,0.23467070966364434,0.1793593391644039,0.14376453629900443,0.2771029956996727,0.16510241917327464,0.9024,0.7096,0.5647933333333334,5000
1,57.0,321.6108179759565,RT64HC,Rubitherm Technologies,Organic (RT-line),64.0,62.5,250.0,780.0,880.0,2.0,2.0,0.283,1404.0,Estimated via MICE-RF-PMM,Yes,1.5,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,220.0,2.0,0.9534809845274094,True,low_organic,True,True,True,225.12757258316952,True,True,,True,True,True,True,True,52.0,65.0,0.0,0.2162651668298873,0.7773370360280913,False,0.543229337131587,0.6412353749229476,0.2190754141739395,0.4850362767433768,0.44229529532795575,0.23467070966364434,2,2,2,2,single VIKOR winner acceptable,32.0,6.0,2,2,0.9562499999999998,True,0.23467070966364434,0.1793593391644039,0.14376453629900443,0.2771029956996727,0.16510241917327464,0.4644,0.0806,0.5647933333333334,5000
1,57.0,321.6108179759565,n-Hexacosane (C26),Literature,Organic n-alkane,56.5,56.2,256.0,770.0,770.0,2.38,2.2,0.238,1404.0,Estimated via MICE-RF-PMM,Yes,0.2999999999999971,7,True,manufacturer_datasheet_MICE_RF_PMM_completed,197.12,2.29,0.9534809845274094,True,low_organic,True,True,True,225.12757258316952,True,True,,True,True,True,True,True,52.0,65.0,0.0,0.9922179382602435,0.7959931248927655,False,0.4117506281402497,0.6291837360097652,0.1631504574975375,0.7016786032153344,0.5121485748283151,0.2771029956996727,4,3,3,4,single VIKOR winner acceptable,26.0,3.0,3,3,0.9562499999999998,True,0.23467070966364434,0.1793593391644039,0.14376453629900443,0.2771029956996727,0.16510241917327464,0.5188,0.08,0.5647933333333334,5000
2,57.00000000000001,302.2036353953978,n-Octacosane (C28),Literature,Organic n-alkane,61.6,62.3,253.0,910.0,910.0,2.38,2.05,0.2665,1581.0,Estimated via MICE-RF-PMM,No,-0.6999999999999957,8,True,manufacturer_datasheet_MICE_RF_PMM_completed,230.23,2.215,0.969090284145708,True,low_organic,True,True,True,211.54254477677844,True,True,,True,True,True,True,True,52.00000000000001,65.0,0.0,0.5162056739454972,0.8371838401910002,False,0.6828918676791728,0.6882369306937967,0.4615817263096205,0.0,0.28395458424089626,0.13116985474439646,1,1,1,1,single VIKOR winner acceptable,52.0,12.0,1,1,0.8351648351648352,True,0.2138214074453597,0.1975361767548683,0.13439610398126256,0.17315020213892,0.2810961096795895,0.7784,0.5124,0.7249241758241758,5000
2,57.00000000000001,302.2036353953978,PureTemp 58,PureTemp,Organic bio-based PCM,58.0,58.1,225.0,810.0,890.0,2.71,2.47,0.2,1620.0,Estimated via MICE-RF-PMM,Yes,-0.1000000000000014,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,200.25,2.59,0.972294084225764,True,low_organic,True,True,True,211.54254477677844,True,True,,True,True,True,True,True,52.00000000000001,65.0,0.0,0.9692332344763445,0.7445310831738144,False,0.5300388457120618,0.5876845689920296,0.04771393969933927,0.3452461307980951,0.4806717153006204,0.17315020213892,4,4,5,2,single VIKOR winner acceptable,41.0,8.0,2,2,0.8351648351648352,True,0.2138214074453597,0.1975361767548683,0.13439610398126256,0.17315020213892,0.2810961096795895,0.441,0.0934,0.7249241758241758,5000
2,57.00000000000001,302.2036353953978,n-Hexacosane (C26),Literature,Organic n-alkane,56.5,56.2,256.0,770.0,770.0,2.38,2.2,0.238,1404.0,Estimated via MICE-RF-PMM,Yes,0.2999999999999971,7,True,manufacturer_datasheet_MICE_RF_PMM_completed,197.12,2.29,0.9534809845274094,True,low_organic,True,True,True,211.54254477677844,True,True,,True,True,True,True,True,52.00000000000001,65.0,0.0,0.9922179382602433,0.8471109212999844,False,0.45298221021914636,0.6444718848529025,0.145810464711446,0.6920866240731895,0.46806203124284423,0.2810961096795895,6,2,2,7,single VIKOR winner acceptable,39.0,6.0,3,3,0.8351648351648352,True,0.2138214074453597,0.1975361767548683,0.13439610398126256,0.17315020213892,0.2810961096795895,0.1606,0.0274,0.7249241758241758,5000
3,57.00000000000001,304.0649998050918,n-Octacosane (C28),Literature,Organic n-alkane,61.6,62.3,253.0,910.0,910.0,2.38,2.05,0.2665,1581.0,Estimated via MICE-RF-PMM,No,-0.6999999999999957,8,True,manufacturer_datasheet_MICE_RF_PMM_completed,230.23,2.215,0.969090284145708,True,low_organic,True,True,True,212.84549986356427,True,True,,True,True,True,True,True,52.00000000000001,65.0,0.0,0.5162056739454972,0.8320589353005939,False,0.6828918676791726,0.6882369306937968,0.4615817263096207,0.0,0.28395458424089626,0.1311698547443965,1,1,1,1,single VIKOR winner acceptable,52.0,12.0,1,1,0.8351648351648352,True,0.21382140744535974,0.1975361767548681,0.13439610398126264,0.17315020213892005,0.2810961096795896,0.7784,0.5124,0.7249241758241758,5000
