cluster_id,name,top3_inclusion_probability,top1_retention_rate,mean_spearman_rho_vs_baseline,n_draws
0,n-Octacosane (C28),0.7682,0.5078,0.6842364285714284,5000
0,PureTemp 58,0.3982,0.1122,0.6842364285714284,5000
0,n-Hexacosane (C26),0.3612,0.1064,0.6842364285714284,5000
0,PureTemp 53,0.3486,0.0802,0.6842364285714284,5000
0,PureTemp 60,0.3256,0.066,0.6842364285714284,5000
0,RT57HC,0.249,0.0534,0.6842364285714284,5000
0,PlusICE A58,0.1548,0.0242,0.6842364285714284,5000
0,RT64HC,0.1282,0.0204,0.6842364285714284,5000
0,n-Tetracosane (C24),0.0842,0.0096,0.6842364285714284,5000
0,n-Heptacosane (C27),0.0546,0.0064,0.6842364285714284,5000
0,CrodaTherm 60,0.051,0.005,0.6842364285714284,5000
0,n-Pentacosane (C25),0.046,0.0046,0.6842364285714284,5000
0,n-Nonacosane (C29),0.027,0.0038,0.6842364285714284,5000
0,RT62HC,0.0034,0.0,0.6842364285714284,5000
0,PlusICE A52,0.0,0.0,0.6842364285714284,5000
1,n-Octacosane (C28),0.9024,0.7096,0.5647933333333334,5000
1,n-Hexacosane (C26),0.5188,0.08,0.5647933333333334,5000
1,RT64HC,0.4644,0.0806,0.5647933333333334,5000
1,RT57HC,0.4352,0.0592,0.5647933333333334,5000
1,n-Nonacosane (C29),0.2438,0.0326,0.5647933333333334,5000
1,n-Heptacosane (C27),0.1812,0.0164,0.5647933333333334,5000
1,n-Pentacosane (C25),0.1302,0.0102,0.5647933333333334,5000
1,n-Tetracosane (C24),0.1016,0.0104,0.5647933333333334,5000
1,RT62HC,0.0224,0.001,0.5647933333333334,5000
2,n-Octacosane (C28),0.7784,0.5124,0.7249241758241758,5000
2,PureTemp 53,0.5686,0.1526,0.7249241758241758,5000
2,PureTemp 60,0.5654,0.1466,0.7249241758241758,5000
2,PureTemp 58,0.441,0.0934,0.7249241758241758,5000
2,n-Hexacosane (C26),0.1606,0.0274,0.7249241758241758,5000
2,PlusICE A58,0.1482,0.0224,0.7249241758241758,5000
2,RT64HC,0.1122,0.0162,0.7249241758241758,5000
2,RT57HC,0.0936,0.014,0.7249241758241758,5000
2,CrodaTherm 60,0.0436,0.0032,0.7249241758241758,5000
2,n-Nonacosane (C29),0.0432,0.007,0.7249241758241758,5000
2,n-Heptacosane (C27),0.0224,0.0028,0.7249241758241758,5000
2,n-Pentacosane (C25),0.0182,0.0016,0.7249241758241758,5000
2,RT62HC,0.0046,0.0004,0.7249241758241758,5000
3,n-Octacosane (C28),0.7784,0.5124,0.7249241758241758,5000
3,PureTemp 53,0.5686,0.1526,0.7249241758241758,5000
3,PureTemp 60,0.5654,0.1466,0.7249241758241758,5000
3,PureTemp 58,0.441,0.0934,0.7249241758241758,5000
3,n-Hexacosane (C26),0.1606,0.0274,0.7249241758241758,5000
3,PlusICE A58,0.1482,0.0224,0.7249241758241758,5000
3,RT64HC,0.1122,0.0162,0.7249241758241758,5000
3,RT57HC,0.0936,0.014,0.7249241758241758,5000
3,CrodaTherm 60,0.0436,0.0032,0.7249241758241758,5000
3,n-Nonacosane (C29),0.0432,0.007,0.7249241758241758,5000
3,n-Heptacosane (C27),0.0224,0.0028,0.7249241758241758,5000
3,n-Pentacosane (C25),0.0182,0.0016,0.7249241758241758,5000
3,RT62HC,0.0046,0.0004,0.7249241758241758,5000
4,n-Octacosane (C28),0.9024,0.7096,0.5647933333333334,5000
4,n-Hexacosane (C26),0.5188,0.08,0.5647933333333334,5000
4,RT64HC,0.4644,0.0806,0.5647933333333334,5000
4,RT57HC,0.4352,0.0592,0.5647933333333334,5000
4,n-Nonacosane (C29),0.2438,0.0326,0.5647933333333334,5000
4,n-Heptacosane (C27),0.1812,0.0164,0.5647933333333334,5000
4,n-Pentacosane (C25),0.1302,0.0102,0.5647933333333334,5000
4,n-Tetracosane (C24),0.1016,0.0104,0.5647933333333334,5000
4,RT62HC,0.0224,0.001,0.5647933333333334,5000
