case_id,regime_id,pcm_id,sampling_method,seed,capsule_diameter_m,n_capsule,flow_rate_kg_s,simulator_version,runtime_s,valid,reason,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,geom_hydraulic_diameter_m,geom_below_min_pcm_fraction,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,split
c0_baseline_noPCM,0,NONE_plain_tank,baseline,0,0.08,8,0.030000000000000002,sim_v1_tamilnadu,1.393317461013794,True,,0.04,0.04289321169701264,0.9571067883029873,1.3858140714189671e-05,6.929070357094836e-10,46.70409175705556,1.1900646595720985,True,tamilnadu,0.0,,25.997,1673.2902185277098,0.5226428323641213,,1158.1496484729262,2.7709929780539453e-09,1745.9337914857504,72.86179490544284,0.0,0.0,7.796657106499265e-06,0.0,70.2800375158398,70.2800375158398,0.0,0.0,0.0,8784.0,train
c0_n_Octacosane__C28__lhs_000,0,n-Octacosane (C28),lhs,20261717,0.06857355980399524,15,0.03711079522116631,sim_v1_tamilnadu,1.561776876449585,True,,0.03428677990199762,0.05065122610619135,0.9493487738938087,2.602936707931345e-05,1.6099508523616154e-09,49.52228156209806,0.8568430279782066,True,tamilnadu,0.0,n-Octacosane (C28),25.997,1668.3986318608056,0.518380515188253,,1168.4907546164868,6.439937572017567e-09,1741.331017925107,73.18070883672846,21.88580577017118,21.92437621297669,9.40571020387933e-06,2.3046307878317065,70.58991123052381,62.47109294421362,0.0,0.0,0.0,8784.0,holdout
c0_n_Octacosane__C28__lhs_001,0,n-Octacosane (C28),lhs,20261717,0.040212499699988,12,0.016221070407910702,sim_v1_tamilnadu,2.2375354766845703,True,,0.020106249849994,0.008171336136604803,0.9918286638633952,7.0270668638711e-07,1.899775772665823e-11,12.693584230632274,3.2539688476306745,True,tamilnadu,0.0,n-Octacosane (C28),25.997,1674.2141185354878,0.5218429699935512,,1160.0902505757297,7.598417060547594e-11,1746.7609051492022,72.771825765127,4.503028956262308,4.509251024532602,9.502354688609309e-06,0.37179579421551856,70.23060222241193,70.1634520128353,1401.0,0.0,29.0,8784.0,train
c0_n_Octacosane__C28__lhs_002,0,n-Octacosane (C28),lhs,20261717,0.031240379711624397,18,0.0283242704129898,sim_v1_tamilnadu,1.0967254638671875e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_n_Octacosane__C28__lhs_003,0,n-Octacosane (C28),lhs,20261717,0.054963958427310486,21,0.02423440576044937,sim_v1_tamilnadu,1.7957191467285156,True,,0.027481979213655243,0.03651589251724424,0.9634841074827558,7.970016985122994e-06,3.2191437589190675e-10,25.92113815025249,0.9668283547873169,True,tamilnadu,0.0,n-Octacosane (C28),25.997,1670.989364356586,0.5195864800272002,,1165.5648788802648,1.2877513952593785e-09,1743.7669705702006,73.01896356852295,17.692336817416496,17.720155505300696,1.0151012867035569e-05,1.6614731095346131,70.35409784627197,68.27360759085332,168.0,0.0,14.0,8784.0,train
c0_n_Octacosane__C28__lhs_004,0,n-Octacosane (C28),lhs,20261717,0.023198126333062497,22,0.04173341951320401,sim_v1_tamilnadu,9.775161743164062e-06,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c0_n_Octacosane__C28__lhs_005,0,n-Octacosane (C28),lhs,20261717,0.04312922696807994,11,0.014745759019900703,sim_v1_tamilnadu,2.9255852699279785,True,,0.02156461348403997,0.00924136929346262,0.9907586307065374,6.612609429454308e-07,1.6251324189909386e-11,12.376062545016426,3.0825629476470238,True,tamilnadu,0.0,n-Octacosane (C28),25.997,1673.7097932288682,0.5217823567223485,,1160.2373086770754,6.49951396819901e-11,1746.2971920877667,72.81259685725769,4.9173459571183455,4.924381127653059,9.135780998003514e-06,0.42048230285254923,70.2510226068099,70.112648820474,1089.0,0.0,27.0,8784.0,train
c0_n_Octacosane__C28__lhs_006,0,n-Octacosane (C28),lhs,20261717,0.060610475390416335,9,0.03352027675686574,sim_v1_tamilnadu,3.28641676902771,True,,0.030305237695208168,0.020985252469014424,0.9790147475309856,7.753948688340037e-06,4.3319084331949027e-10,39.536568713337694,1.885087296414385,True,tamilnadu,0.0,n-Octacosane (C28),25.997,1672.5469654122442,0.5208219111662191,,1162.567512890238,1.73269117480223e-09,1745.2097154347898,72.89489265945573,9.70645218420266,9.722430803968344,9.529826644848406e-06,0.9548289873401563,70.38774161942895,66.99183125396686,29.0,0.0,11.0,8784.0,holdout
c0_n_Octacosane__C28__lhs_007,0,n-Octacosane (C28),lhs,20261717,0.07913227343102656,20,0.04729563817998471,sim_v1_tamilnadu,2.3097264766693115,True,,0.03956613671551328,0.10378140419868322,0.8962185958013168,0.00021125881349776565,1.665270067587199e-08,72.83136039780665,0.45557175696684404,False,tamilnadu,0.0,n-Octacosane (C28),25.997,1662.8011383982598,0.5137488103000952,,1179.7280581529908,6.661912905386126e-08,1736.0372136511983,73.51549775834464,42.566018706198804,42.645151979419786,1.152243481816616e-05,4.722053891040086,71.12437868284434,62.018287156638884,0.0,0.0,0.0,8784.0,train
c0_n_Octacosane__C28__bnd_dmin_fmin,0,n-Octacosane (C28),boundary,0,0.02,16,0.01,sim_v1_tamilnadu,1.3589859008789062e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
