point_id,lat,lon,population,cluster_id,max_membership_prob,prob_cluster0,prob_cluster1,prob_cluster2,prob_cluster3,prob_cluster4
TNP_0001,13.125,80.125,5068599.2233457565,0,1.0,1.0,0.0,0.0,0.0,0.0
TNP_0002,12.875,80.125,3176285.3368492126,0,1.0,1.0,0.0,0.0,0.0,0.0
TNP_0003,13.125,80.375,2187441.213805318,0,1.0,1.0,0.0,0.0,0.0,0.0
TNP_0004,9.875,78.125,2115244.36277926,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0005,11.625,78.125,1714135.3546363115,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0006,10.875,78.625,1304575.5502040386,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0007,10.875,76.875,1258467.862797141,0,1.0,1.0,0.0,0.0,0.0,0.0
TNP_0008,11.125,77.375,1234266.652519226,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0009,12.875,79.125,901144.725508362,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0010,11.625,79.625,890343.420427084,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0011,8.125,77.375,856360.3904578686,4,1.0,0.0,0.0,0.0,0.0,1.0
TNP_0012,11.375,77.625,850894.7885315418,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0013,11.875,79.625,793806.6025528908,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0014,10.875,79.375,761459.6739379168,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0015,11.125,77.125,759539.1904519796,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0016,11.125,79.625,705301.0805649757,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0017,11.125,76.875,686165.5627800226,0,1.0,1.0,0.0,0.0,0.0,0.0
TNP_0018,10.875,77.125,667808.2734088898,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0019,11.375,77.875,660676.1065044403,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0020,12.875,79.625,624118.5540295839,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0021,11.375,79.625,611160.1712343693,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0022,12.875,79.875,596457.0556298494,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0023,8.625,77.625,582560.4265007973,4,1.0,0.0,0.0,0.0,0.0,1.0
TNP_0024,10.875,79.125,581223.5783321857,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0025,13.125,79.875,578685.5680625439,0,1.0,1.0,0.0,0.0,0.0,0.0
TNP_0026,12.875,78.875,578566.7887402773,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0027,12.625,78.625,570663.8527343869,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0028,12.875,79.375,570341.4928501844,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0029,8.875,77.375,558795.526090622,4,1.0,0.0,0.0,0.0,0.0,1.0
TNP_0030,10.875,79.625,558068.7767105103,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0031,10.375,77.875,552232.6657766402,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0032,11.625,77.875,548446.908927083,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0033,8.875,77.625,539231.9798537493,4,1.0,0.0,0.0,0.0,0.0,1.0
TNP_0034,12.125,79.125,538197.4571355581,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0035,8.375,77.125,531967.9416552782,4,1.0,0.0,0.0,0.0,0.0,1.0
TNP_0036,9.375,77.625,529327.0772749186,4,1.0,0.0,0.0,0.0,0.0,1.0
TNP_0037,11.875,79.375,513207.50633621216,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0038,10.875,78.875,509643.5959506035,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0039,11.125,78.125,509339.4160377979,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0040,9.875,77.375,503075.9377707541,4,1.0,0.0,0.0,0.0,0.0,1.0
TNP_0041,10.875,77.375,497094.1553002596,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0042,11.375,78.125,487498.5251520872,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0043,9.375,77.875,482909.210804224,4,1.0,0.0,0.0,0.0,0.0,1.0
TNP_0044,12.625,79.875,476504.6826384068,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0045,11.625,79.375,472531.033213377,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0046,8.875,78.125,470011.098297298,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0047,10.625,79.625,464208.09969496727,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0048,13.125,79.625,453560.4962954521,0,1.0,1.0,0.0,0.0,0.0,0.0
TNP_0049,10.875,78.125,453204.45869636536,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0050,12.625,77.875,453078.5000749826,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0051,10.125,77.875,444004.8665029407,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0052,12.125,78.125,442702.0660517812,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0053,9.125,77.375,432034.77818611264,4,1.0,0.0,0.0,0.0,0.0,1.0
TNP_0054,13.375,80.125,428818.2389336824,0,1.0,1.0,0.0,0.0,0.0,0.0
TNP_0055,9.625,77.875,428798.5923881531,4,1.0,0.0,0.0,0.0,0.0,1.0
TNP_0056,10.375,78.875,425651.40564394,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0057,11.875,79.125,424644.4549734592,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0058,12.125,79.625,421316.1258692741,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0059,10.625,79.375,415753.8382663727,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0060,12.375,78.375,415477.9771983624,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0061,11.125,77.875,414226.7854287028,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0062,12.625,80.125,412132.4269834757,0,1.0,1.0,0.0,0.0,0.0,0.0
TNP_0063,11.375,77.375,411676.414712131,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0064,10.625,77.125,409948.4459089637,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0065,12.625,79.375,409050.7556846142,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0066,11.625,78.875,398426.9544980228,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0067,12.125,78.375,397447.7478468418,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0068,10.125,77.625,388361.20780590177,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0069,12.125,79.375,387112.1581530571,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0070,10.375,78.125,383953.9953950644,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0071,12.375,79.125,380318.77103960514,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0072,11.125,79.375,377556.557136178,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0073,12.375,78.125,376712.411831975,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0074,8.375,77.375,373703.33825439215,4,1.0,0.0,0.0,0.0,0.0,1.0
TNP_0075,12.625,79.625,372911.4339413643,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0076,11.625,78.375,372498.0526821613,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0077,11.875,77.875,371649.5389996022,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0078,12.375,78.625,369950.2013204098,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0079,10.625,77.375,367961.2143267989,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0080,10.375,79.375,365971.6754934192,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0081,10.625,79.125,361159.2509186268,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0082,12.625,78.125,360799.10471487045,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0083,12.375,79.875,359551.7668402195,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0084,12.875,78.625,356433.593002066,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0085,12.625,79.125,355228.05595360696,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0086,13.125,79.375,353338.442471683,0,1.0,1.0,0.0,0.0,0.0,0.0
TNP_0087,9.375,78.875,353010.24430310726,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0088,10.125,78.875,350070.71990942955,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0089,11.375,77.125,348400.17650821805,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0090,12.375,79.375,345564.8446456194,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0091,11.875,78.125,338277.50642474,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0092,11.875,79.875,331753.007565856,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0093,10.875,78.375,331288.6401773691,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0094,11.375,76.875,329277.33425694704,0,1.0,1.0,0.0,0.0,0.0,0.0
TNP_0095,8.625,78.125,328577.7085413933,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0096,9.875,77.875,321388.47564196587,4,1.0,0.0,0.0,0.0,0.0,1.0
TNP_0097,12.125,79.875,320211.4485657811,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0098,10.125,78.125,317831.9035288989,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0099,10.125,78.375,316057.0736576021,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0100,11.375,79.375,315788.482935071,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0101,11.625,79.125,312785.2295117378,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0102,10.625,78.625,311437.63846439123,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0103,11.125,78.625,309087.12795975804,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0104,10.375,79.125,307193.6989862919,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0105,11.125,78.875,305830.6020783186,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0106,12.375,79.625,305810.3294095993,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0107,10.625,76.875,305741.92967784405,0,1.0,1.0,0.0,0.0,0.0,0.0
TNP_0108,10.625,78.375,305614.69948893785,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0109,11.875,78.875,301935.04241657257,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0110,12.375,78.875,301079.89815589786,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0111,11.375,79.125,300073.306358099,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0112,11.125,77.625,294728.81712269783,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0113,10.375,78.375,292314.1716660261,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0114,11.625,77.625,292060.09904256463,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0115,11.125,79.125,291553.82602107525,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0116,10.125,79.125,291410.35054147243,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0117,10.625,78.875,287637.03817653656,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0118,10.125,78.625,285961.020146966,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0119,9.125,77.875,284674.2646612525,4,1.0,0.0,0.0,0.0,0.0,1.0
TNP_0120,9.625,78.625,283261.0585422516,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0121,9.875,78.375,283191.96407699585,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0122,11.625,78.625,282878.4148208797,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0123,9.625,78.125,281565.6825658679,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0124,9.125,77.625,276426.1651992798,4,1.0,0.0,0.0,0.0,0.0,1.0
TNP_0125,8.125,77.625,272677.4193781018,4,1.0,0.0,0.0,0.0,0.0,1.0
TNP_0126,11.125,78.375,267273.30917078257,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0127,11.375,78.375,266237.5408079326,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0128,10.625,77.625,263581.3604952693,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0129,9.875,78.625,262651.0341567993,3,1.0,0.0,0.0,0.0,1.0,0.0
TNP_0130,9.625,77.625,259478.05903168023,4,1.0,0.0,0.0,0.0,0.0,1.0
TNP_0131,12.125,78.875,247235.19139759245,1,1.0,0.0,1.0,0.0,0.0,0.0
TNP_0132,11.125,79.875,246425.969114542,2,1.0,0.0,0.0,1.0,0.0,0.0
TNP_0133,8.375,77.625,243750.0673230141,4,1.0,0.0,0.0,0.0,0.0,1.0
