name,family,pcm_type,Tm_C,Tm_freezing_C,latent_heat_kJ_kg,density_liquid_kg_m3,density_solid_kg_m3,Cp_liquid_kJ_kgK,Cp_solid_kJ_kgK,TC_W_mK,cycles_tested,cycles_tested_status,flammable,supercooling_K,n_properties_imputed,any_property_imputed,source,rho_H_MJ_m3,Cp_avg_kJ_kgK,cycles_confidence,in_absolute_band,corrosion_class
savE® HS36,PLUSS savE,Inorganic,35.0,36.0,163.0,1850.0,1967.0,2.32,1.98,0.485,2000.0,Reported by manufacturer,No,-1.0,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,320.621,2.15,1.0,False,check_manually
savE® OM35,PLUSS savE,Organic,35.0,34.0,171.0,870.0,900.0,2.78,2.57,0.18,2000.0,Reported by manufacturer,Yes,1.0,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,153.9,2.675,1.0,False,low_organic
RT35,Rubitherm RT,Organic,35.0,35.0,160.0,770.0,860.0,2.0,2.01,0.2675,2000.0,Estimated via MICE-RF-PMM,No,0.0,5,True,manufacturer_datasheet_MICE_RF_PMM_completed,137.6,2.005,1.0,False,low_organic
savE® OM37,PLUSS savE,Organic,38.0,36.0,186.0,860.0,973.0,2.63,2.55,0.14500000000000002,2000.0,Reported by manufacturer,No,2.0,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,180.978,2.59,1.0,False,low_organic
RT38,Rubitherm RT,Organic,38.0,38.0,170.0,750.0,880.0,2.0,2.02,0.179,2000.0,Estimated via MICE-RF-PMM,No,0.0,5,True,manufacturer_datasheet_MICE_RF_PMM_completed,149.6,2.01,1.0,False,low_organic
savE® OM39,PLUSS savE,Organic,39.0,35.0,229.0,824.0,850.0,2.4,2.0,0.1775,2000.0,Under trial (estimate below),No,4.0,2,True,manufacturer_datasheet_MICE_RF_PMM_completed,194.65,2.2,1.0,False,low_organic
RT42,Rubitherm RT,Organic,41.0,42.0,165.0,760.0,880.0,2.0,2.01,0.18,2000.0,Estimated via MICE-RF-PMM,No,-1.0,5,True,manufacturer_datasheet_MICE_RF_PMM_completed,145.2,2.005,1.0,False,low_organic
Myristic-Palmitic eutectic (58/42),Eutectic,Organic,42.6,,169.7,,,,,,,not_reported,Likely (organic),,0,False,Singh2025_Table2_literature,,,,True,low_organic
RT44HC,Rubitherm RT,Organic,43.0,43.0,250.0,700.0,800.0,2.0,2.18,0.153,2000.0,Estimated via MICE-RF-PMM,No,0.0,5,True,manufacturer_datasheet_MICE_RF_PMM_completed,200.0,2.09,1.0,True,low_organic
savE® OM42,PLUSS savE,Organic,44.0,43.0,199.0,863.0,903.0,2.78,2.71,0.14500000000000002,2000.0,Reported by manufacturer,Yes,1.0,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,179.697,2.745,1.0,True,low_organic
C22H46 (docosane-class paraffin),Paraffin,Organic,44.5,,249.0,,,,,,,not_reported,Likely (organic),,0,False,Singh2025_Table2_literature,,,,True,low_organic
RT47,Rubitherm RT,Organic,46.0,47.0,160.0,770.0,880.0,2.0,2.0,0.199,2000.0,Estimated via MICE-RF-PMM,No,-1.0,5,True,manufacturer_datasheet_MICE_RF_PMM_completed,140.8,2.0,1.0,True,low_organic
savE® OM46,PLUSS savE,Organic,47.0,45.0,177.0,880.0,917.0,2.7,2.5,0.15000000000000002,2000.0,Reported by manufacturer,No,2.0,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,162.309,2.6,1.0,True,low_organic
RT45HC,Rubitherm RT,Organic,47.0,45.0,230.0,800.0,900.0,2.0,2.37,0.1515,2000.0,Estimated via MICE-RF-PMM,No,2.0,5,True,manufacturer_datasheet_MICE_RF_PMM_completed,207.0,2.185,1.0,True,low_organic
RT50,Rubitherm RT,Organic,49.0,50.0,160.0,760.0,880.0,2.0,2.0,0.1815,2000.0,Estimated via MICE-RF-PMM,Yes,-1.0,5,True,manufacturer_datasheet_MICE_RF_PMM_completed,140.8,2.0,1.0,True,low_organic
savE® OM50,PLUSS savE,Organic,50.0,50.0,189.0,859.0,961.0,2.78,3.33,0.175,2000.0,Reported by manufacturer,Yes,0.0,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,181.629,3.0549999999999997,1.0,True,low_organic
savE® OM48,PLUSS savE,Organic,51.0,48.0,165.0,875.0,960.0,2.35,2.02,0.15000000000000002,2000.0,Reported by manufacturer,Yes,3.0,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,158.4,2.185,1.0,True,low_organic
Palmitic-Stearic eutectic (64.2/35.8),Eutectic,Organic,52.3,,181.7,,,,,,,not_reported,Likely (organic),,0,False,Singh2025_Table2_literature,,,,True,low_organic
Myristic acid,Fatty acid,Organic,53.0,,190.0,,,,,,,not_reported,Likely (organic),,0,False,Singh2025_Table2_literature,,,,True,low_organic
RT54HC,Rubitherm RT,Organic,54.0,54.0,200.0,850.0,990.0,2.0,2.41,0.174,2000.0,Estimated via MICE-RF-PMM,Yes,0.0,5,True,manufacturer_datasheet_MICE_RF_PMM_completed,198.0,2.205,1.0,True,low_organic
