point_id,lat,lon,population,weight
TNP_0001,13.125,80.125,5068599.2233457565,0.0711614353911609
TNP_0002,12.875,80.125,3176285.3368492126,0.04459398224681224
TNP_0003,13.125,80.375,2187441.213805318,0.030710941968187095
TNP_0004,9.875,78.125,2115244.3627792597,0.029697322361793205
TNP_0005,11.625,78.125,1714135.3546363115,0.02406588623713239
TNP_0006,10.875,78.625,1304575.5502040386,0.018315803763125832
TNP_0007,10.875,76.875,1258467.862797141,0.017668467275496424
TNP_0008,11.125,77.375,1234266.652519226,0.017328690389281514
TNP_0009,12.875,79.125,901144.725508362,0.01265177011174677
TNP_0010,11.625,79.625,890343.420427084,0.012500123406254397
TNP_0011,8.125,77.375,856360.3904578686,0.01202301304795033
TNP_0012,11.375,77.625,850894.7885315418,0.011946277827583594
TNP_0013,11.875,79.625,793806.6025528908,0.011144778817875595
TNP_0014,10.875,79.375,761459.6739379168,0.010690638774580255
TNP_0015,11.125,77.125,759539.1904519796,0.010663675829695043
TNP_0016,11.125,79.625,705301.0805649757,0.009902190933693544
TNP_0017,11.125,76.875,686165.5627800226,0.0096335346733488
TNP_0018,10.875,77.125,667808.2734088898,0.009375804479269969
TNP_0019,11.375,77.875,660676.1065044403,0.009275671244818866
TNP_0020,12.875,79.625,624118.5540295839,0.008762415452860385
TNP_0021,11.375,79.625,611160.1712343693,0.008580484098767863
TNP_0022,12.875,79.875,596457.0556298494,0.008374057280423139
TNP_0023,8.625,77.625,582560.4265007973,0.008178953262064945
TNP_0024,10.875,79.125,581223.5783321857,0.008160184361548948
TNP_0025,13.125,79.875,578685.5680625439,0.00812455154745835
TNP_0026,12.875,78.875,578566.7887402773,0.00812288392555833
TNP_0027,12.625,78.625,570663.8527343869,0.008011929351088657
TNP_0028,12.875,79.375,570341.4928501844,0.008007403526287453
TNP_0029,8.875,77.375,558795.526090622,0.007845302020253062
TNP_0030,10.875,79.625,558068.7767105103,0.007835098702377743
TNP_0031,10.375,77.875,552232.6657766402,0.007753161659645432
TNP_0032,11.625,77.875,548446.908927083,0.007700010901499954
TNP_0033,8.875,77.625,539231.9798537493,0.007570636383809578
TNP_0034,12.125,79.125,538197.4571355581,0.007556112031354927
TNP_0035,8.375,77.125,531967.9416552782,0.007468651720560112
TNP_0036,9.375,77.625,529327.0772749186,0.0074315748692055615
TNP_0037,11.875,79.375,513207.50633621216,0.007205261492404229
TNP_0038,10.875,78.875,509643.5959506035,0.007155225384306108
TNP_0039,11.125,78.125,509339.4160377979,0.007150954800214018
TNP_0040,9.875,77.375,503075.9377707541,0.007063017663268722
TNP_0041,10.875,77.375,497094.1553002596,0.006979035440954231
TNP_0042,11.375,78.125,487498.5251520872,0.006844316007687242
TNP_0043,9.375,77.875,482909.210804224,0.006779883571413533
TNP_0044,12.625,79.875,476504.68263840675,0.00668996614113349
TNP_0045,11.625,79.375,472531.033213377,0.006634177434162153
TNP_0046,8.875,78.125,470011.09829729795,0.00659879839198132
TNP_0047,10.625,79.625,464208.09969496727,0.006517326235292994
TNP_0048,13.125,79.625,453560.4962954521,0.006367837449930882
TNP_0049,10.875,78.125,453204.45869636536,0.0063628388012929036
TNP_0050,12.625,77.875,453078.50007498264,0.006361070384437966
TNP_0051,10.125,77.875,444004.86650294065,0.006233679608259431
TNP_0052,12.125,78.125,442702.0660517812,0.00621538872629233
TNP_0053,9.125,77.375,432034.77818611264,0.006065623577618647
TNP_0054,13.375,80.125,428818.23893368244,0.006020464443879947
TNP_0055,9.625,77.875,428798.5923881531,0.006020188612961237
TNP_0056,10.375,78.875,425651.40564394,0.005976003165208593
TNP_0057,11.875,79.125,424644.45497345924,0.005961865915068662
TNP_0058,12.125,79.625,421316.12586927414,0.005915137289254833
TNP_0059,10.625,79.375,415753.8382663727,0.005837044634373421
TNP_0060,12.375,78.375,415477.97719836235,0.005833171637376986
